id,vantage,run,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,fecha
30,EC,1,mundo,Fudan,CN,https://www.fudan.edu.cn/en/,true,,Fudan University,,1,1,5,3,Hm_lvt_829a28d038f7cea73ca2728904e244bc Hm_lpvt_829a28d038f7cea73ca2728904e244bc HMACCOUNT,,0,6,44,18,3,23,40,3,1,0,ninguno,3,2026-09-14T21:53:55.169Z
31,EC,1,mundo,PSL,FR,https://www.psl.eu/en,true,,PSL University | PSL,en,1,1,1,0,,,1,4,23,8,11,4,15,7,0,1,ninguno,4,2026-09-14T21:54:06.966Z
32,EC,1,mundo,HKU,HK,https://www.hku.hk,true,,Home | The University of Hong Kong (HKU),en,1,1,4,2,_ga _ga_ZHLLDTLTMG,,0,2,2,1,0,1,1,0,0,1,ninguno,4,2026-09-14T21:54:13.744Z
33,EC,1,mundo,Zhejiang,CN,https://www.zju.edu.cn/english/,true,,Zhejiang University (ZJU),en,1,1,0,0,,,0,3,14,13,1,0,2,12,0,0,ninguno,3,2026-09-14T21:54:27.678Z
34,EC,1,mundo,NYU,US,https://www.nyu.edu,true,,New York University,en,1,1,12,10,_gcl_au test_cookie _ga_S194DLZYBD _ga _ga_9CWXCZX89G _ga_S4TP6272FF _ga_VR2BFTJ92R _ga_YKLBDQJ61W _ga_H4KKXQKFSM _ga_8Y5XM9YCFW,Osano,1,1,2,0,0,2,2,0,0,0,AA,3,2026-09-14T21:54:34.514Z
35,EC,1,mundo,SJTU,CN,https://www.sjtu.edu.cn,true,,上海交通大学中文主页门户网站,zh-Hans,1,1,3,3,_pk_testcookie.299.e5ac _pk_id.299.e5ac _pk_ses.299.e5ac,,0,5,48,5,5,38,47,0,0,1,ninguno,2,2026-09-14T21:54:52.364Z
36,EC,1,mundo,KCL,GB,https://www.kcl.ac.uk,true,,King's College London,en-GB,1,1,2,0,,OneTrust,1,2,41,1,0,40,40,0,0,1,ninguno,3,2026-09-14T21:54:59.821Z
37,EC,1,mundo,UCSD,US,https://www.ucsd.edu,true,,University of California San Diego,en,1,1,26,11,YSC VISITOR_INFO1_LIVE _gcl_au _ga_ZBPHLZYTS4 _ga _ttp test_cookie _hjSessionUser_3662797 _hjSession_3662797 _tt_enable_cookie _ttp,,0,3,45,2,7,36,36,7,0,2,ninguno,4,2026-09-14T21:55:09.220Z
38,EC,1,mundo,LMU,DE,https://www.lmu.de,true,,Startseite - LMU München,de,1,1,0,0,,,0,1,9,0,0,9,9,0,0,0,AA,4,2026-09-14T21:55:20.146Z
39,EC,1,mundo,Duke,US,https://www.duke.edu,true,,"Duke University - Fueled by creativity, informed by scholarship",en-US,1,1,24,13,YSC VISITOR_INFO1_LIVE __utma __utmc __utmz __utmt_UA-3896341-5 __utmb _ga _ga_EFHNRXCSHV _clck _clsk MUID MUID,,1,1,8,0,0,8,8,0,0,0,AA,3,2026-09-14T21:55:28.680Z
