id,vantage,run,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,fecha
25,GB,2,mundo,Melbourne,AU,https://www.unimelb.edu.au,true,,The University of Melbourne - Australia's #1 Ranked University,en,1,1,32,15,utag_main__ss utag_main__st utag_main_ses_id s_nr30 s_tslv s_inv s_ips s_tp s_ppv utag_main_v_id _ga_J6RRCK6F9V AMCV_0BFB1E5866E1D2E70A495C3B%40AdobeOrg _ga_YE8SEG9T0S _ga _ga_L55G410M0Q,,1,1,1,1,0,0,1,0,0,0,ninguno,4,2026-08-15T21:50:46.200Z
26,GB,2,mundo,Edinburgh,GB,https://www.ed.ac.uk,true,,The University of Edinburgh,en,1,1,0,0,,,0,2,37,1,0,36,37,0,0,0,ninguno,3,2026-08-15T21:50:57.853Z
27,GB,2,mundo,EPFL,CH,https://www.epfl.ch/en/,true,,EPFL,en-GB,1,1,2,2,_ga_N6BF9H5G73 _ga,,1,3,101,1,85,15,100,1,0,0,ninguno,4,2026-08-15T21:51:06.489Z
28,GB,2,mundo,Michigan,US,https://umich.edu,true,,University of Michigan,en,1,1,2,0,,,0,2,13,0,5,8,8,5,0,0,A,3,2026-08-15T21:51:13.826Z
29,GB,2,mundo,Northwestern,US,https://www.northwestern.edu,true,,Northwestern University,en,1,1,9,0,,CookieYes,1,0,0,0,0,0,0,0,0,0,AAA,3,2026-08-15T21:51:24.208Z
30,GB,2,mundo,Fudan,CN,https://www.fudan.edu.cn/en/,true,,Fudan University,,1,1,5,3,Hm_lvt_829a28d038f7cea73ca2728904e244bc Hm_lpvt_829a28d038f7cea73ca2728904e244bc HMACCOUNT,,0,6,44,18,3,23,40,3,1,0,ninguno,3,2026-08-15T21:51:39.268Z
31,GB,2,mundo,PSL,FR,https://www.psl.eu/en,true,,PSL University | PSL,en,1,1,1,0,,,1,5,25,8,12,5,16,8,0,1,ninguno,4,2026-08-15T21:51:52.090Z
32,GB,2,mundo,HKU,HK,https://www.hku.hk,true,,The University of Hong Kong (HKU),en,1,1,11,10,__utma __utmc __utmz __utmt __utmb _ga_ZHLLDTLTMG _ga _hjSessionUser_1966860 _hjSession_1966860 _fbp,,0,8,27,13,14,0,15,1,0,11,ninguno,4,2026-08-15T21:52:11.255Z
33,GB,2,mundo,Zhejiang,CN,https://www.zju.edu.cn/english/,true,,Zhejiang University (ZJU),en,1,1,1,0,,,0,3,14,13,1,0,2,12,0,0,ninguno,3,2026-08-15T21:52:25.697Z
34,GB,2,mundo,NYU,US,https://www.nyu.edu,true,,Human Verification,en,1,1,1,0,,,0,1,1,0,0,1,1,0,0,0,AA,1,2026-08-15T21:52:33.366Z
35,GB,2,mundo,SJTU,CN,https://www.sjtu.edu.cn,true,,上海交通大学中文主页门户网站,zh-Hans,1,1,0,0,,,0,5,48,5,5,38,47,0,0,1,ninguno,2,2026-08-15T21:52:54.023Z
36,GB,2,mundo,KCL,GB,https://www.kcl.ac.uk,true,,King's College London,en-GB,1,1,2,0,,OneTrust,1,2,41,1,0,40,40,0,0,1,ninguno,3,2026-08-15T21:53:01.844Z
37,GB,2,mundo,UCSD,US,https://www.ucsd.edu,true,,University of California San Diego,en,1,1,15,9,_ga_ZBPHLZYTS4 _ga _gcl_au YSC VISITOR_INFO1_LIVE _ttp test_cookie _hjSessionUser_3662797 _hjSession_3662797,,0,3,44,2,7,35,35,7,0,2,ninguno,4,2026-08-15T21:53:25.058Z
38,GB,2,mundo,LMU,DE,https://www.lmu.de,true,,Startseite - LMU München,de,1,1,0,0,,,0,1,9,0,0,9,9,0,0,0,AA,4,2026-08-15T21:53:35.784Z
39,GB,2,mundo,Duke,US,https://www.duke.edu,true,,"Duke University - Fueled by creativity, informed by scholarship",en-US,1,1,14,9,YSC VISITOR_INFO1_LIVE _ga _ga_EFHNRXCSHV __utma __utmc __utmz __utmt_UA-3896341-5 __utmb,,1,1,7,0,0,7,7,0,0,0,AA,3,2026-08-15T21:53:48.938Z
40,GB,2,mundo,Manchester,GB,https://www.manchester.ac.uk,true,,The University of Manchester,en,1,1,1,0,,OneTrust,1,1,1,1,0,0,0,0,0,1,ninguno,1,2026-08-15T21:53:56.935Z
41,GB,2,mundo,UBC,CA,https://www.ubc.ca,true,,The University of British Columbia,en-ca,1,1,8,4,_gcl_au _ga_Q74JQJCYJK _ga IDE,,0,2,18,0,5,13,13,5,0,0,A,4,2026-08-15T21:54:05.265Z
42,GB,2,mundo,Sydney,AU,https://www.sydney.edu.au,true,,One of Australia’s top universities - The University of Sydney,en-US,1,1,24,13,s_ecid _gcl_au _ga_KXYY9PEVLH _ga AMCV_35B46472540D9EE20A4C98A6%40AdobeOrg s_ips test_cookie _hjSessionUser_550296 _hjSession_550296 s_tp s_ppv YSC VISITOR_INFO1_LIVE,,0,3,15,1,1,13,14,1,0,0,ninguno,2,2026-08-15T21:54:14.958Z
43,GB,2,mundo,Paris-Saclay,FR,https://www.universite-paris-saclay.fr/en,true,,Université Paris-Saclay,en,1,1,2,0,,Tarteaucitron,1,2,8,1,0,7,7,0,0,1,ninguno,3,2026-08-15T21:54:23.674Z
44,GB,2,mundo,Kyoto,JP,https://www.kyoto-u.ac.jp/en,true,,KYOTO UNIVERSITY,en,1,1,2,2,_ga_P51JW1MC7Y _ga,,0,2,5,0,5,0,1,4,0,0,A,3,2026-08-15T21:54:33.764Z
45,GB,2,mundo,Illinois,US,https://illinois.edu,true,,Illinois,en-US,1,1,4,2,_ga_TWFEJJKL35 _ga,OneTrust,0,1,9,0,0,9,9,0,0,0,AA,4,2026-08-15T21:54:46.228Z
46,GB,2,mundo,UT Austin,US,https://www.utexas.edu,true,,403 Forbidden,,0,1,0,0,,,0,1,1,1,0,0,0,0,1,0,ninguno,0,2026-08-15T21:54:52.702Z
47,GB,2,mundo,UW,US,https://www.washington.edu,true,,UW Homepage,en,1,1,11,7,_ga _ga_JLHM9WH4JV _gcl_au _ga_3T65WK0BM8 nmstat IDE _fbp,,0,3,11,1,7,3,3,7,0,1,ninguno,3,2026-08-15T21:55:05.970Z
48,GB,2,mundo,NTU,SG,https://www.ntu.edu.sg,true,,Nanyang Technological University - NTU Singapore,en,1,1,1,1,_gcl_au,,1,4,15,5,3,7,8,7,0,0,ninguno,2,2026-08-15T21:55:15.860Z
49,GB,2,mundo,McGill,CA,https://www.mcgill.ca,true,,McGill University,,1,1,1,0,,,1,3,7,6,0,1,6,0,1,0,ninguno,1,2026-08-15T21:55:24.826Z
50,GB,2,mundo,CUHK,HK,https://www.cuhk.edu.hk/english/index.html,true,,The Chinese University of Hong Kong,en,1,1,9,8,__utma __utmc __utmz __utmt __utmb _ga _ga_3VWFFZCDJ6 _fbp,,0,6,47,6,10,31,34,11,0,2,ninguno,2,2026-08-15T21:55:37.093Z
51,GB,2,mundo,CMU,US,https://www.cmu.edu,true,,Carnegie Mellon University | CMU,en,1,1,7,4,_ga _ga_1XQYSMEBVE test_cookie _gcl_au,OneTrust,1,2,3,1,0,2,2,1,0,0,ninguno,5,2026-08-15T21:55:50.958Z
52,GB,2,mundo,Wisconsin,US,https://www.wisc.edu,true,,University of Wisconsin–Madison,en,1,1,6,4,_ga_D04HXCEERG _ga _ga _ga_PLJ9E3ZY82,,1,1,45,0,0,45,45,0,0,0,AA,2,2026-08-15T21:55:59.836Z
53,GB,2,mundo,USTC,CN,https://en.ustc.edu.cn,true,,University of Science and Technology of China,,1,1,5,3,Hm_lvt_1c599d6edf63923fd73ae82fd7293a24 Hm_lpvt_1c599d6edf63923fd73ae82fd7293a24 HMACCOUNT,,0,5,12,11,1,0,3,7,1,1,ninguno,2,2026-08-15T21:56:09.308Z
54,GB,2,mundo,WUSTL,US,https://washu.edu,true,,Home | WashU,en-US,1,1,14,12,_ga _ga_T94ZQ4ENLH utag_main__sn utag_main__se utag_main__ss utag_main__st utag_main_ses_id utag_main__pn utag_main_v_id utag_main_dc_visit utag_main_dc_event utag_main_dc_region,,0,3,26,5,0,21,21,4,0,1,ninguno,5,2026-08-15T21:56:25.146Z
