id,vantage,run,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,fecha
1,EC,1,mundo,MIT,US,https://www.mit.edu,true,,MIT - Massachusetts Institute of Technology,en,1,1,0,0,,,0,3,8,1,6,1,1,6,0,1,ninguno,4,2026-08-15T18:21:28.300Z
2,EC,1,mundo,Stanford,US,https://www.stanford.edu,true,,Stanford University,en,1,1,10,4,_ga_Q0JD4PHRZ7 _ga YSC VISITOR_INFO1_LIVE,,0,1,11,0,0,11,11,0,0,0,AA,1,2026-08-15T18:21:37.543Z
3,EC,1,mundo,Harvard,US,https://www.harvard.edu,true,,Harvard University,en-US,1,1,8,5,_gid _gat_UA-2923555-1 _ga_KBLBYHG5EP _ga _fbp,,0,2,13,0,3,10,13,0,0,0,A,2,2026-08-15T18:21:44.901Z
4,EC,1,mundo,Oxford,GB,https://www.ox.ac.uk,true,,University of Oxford,en,1,1,6,2,YSC VISITOR_INFO1_LIVE,,1,0,0,0,0,0,0,0,0,0,AAA,4,2026-08-15T18:21:51.869Z
5,EC,1,mundo,Cambridge,GB,https://www.cam.ac.uk,true,,University of Cambridge,en,1,1,0,0,,,1,2,6,5,0,1,6,0,0,0,ninguno,2,2026-08-15T18:21:59.845Z
6,EC,1,mundo,Caltech,US,https://www.caltech.edu,true,,Home - www.caltech.edu,en,1,1,4,2,_ga_7RL83EX4D4 _ga,,0,4,30,5,0,25,28,0,0,2,ninguno,3,2026-08-15T18:22:11.700Z
7,EC,1,mundo,UC Berkeley,US,https://www.berkeley.edu,true,,"University of California, Berkeley: Home",en-US,1,1,10,5,YSC VISITOR_INFO1_LIVE nmstat _ga_JD06GX6S4V _ga,,0,0,0,0,0,0,0,0,0,0,AAA,2,2026-08-15T18:22:19.215Z
8,EC,1,mundo,Princeton,US,https://www.princeton.edu,true,,Home | Princeton University,en,1,1,2,2,_ga_92L6B9PQCG _ga,,0,0,0,0,0,0,0,0,0,0,AAA,2,2026-08-15T18:22:27.030Z
9,EC,1,mundo,Imperial,GB,https://www.imperial.ac.uk,true,,Imperial College London,en-GB,1,1,6,0,,OneTrust,1,2,19,0,15,4,4,15,0,0,A,3,2026-08-15T18:22:35.880Z
10,EC,1,mundo,U Chicago,US,https://www.uchicago.edu,true,,The University of Chicago,en,1,1,19,9,_gid _gat_UA-373360-31 _gat_UA-3572058-26 _ga_2V4M4Z833J _ga _ga_DBDWJCS0JR nmstat _hjSessionUser_3545609 _hjSession_3545609,,0,1,1,1,0,0,0,0,0,1,ninguno,6,2026-08-15T18:22:45.753Z
11,EC,1,mundo,ETH Zurich,CH,https://ethz.ch,true,,ETH Zürich - Homepage | ETH Zürich,de,1,1,1,0,,OneTrust,1,2,2,1,0,1,2,0,0,0,ninguno,1,2026-08-15T18:22:59.757Z
12,EC,1,mundo,Yale,US,https://www.yale.edu,true,,Yale University,en,1,1,7,6,nmstat _ga _gid _gat_gtag_UA_991898_23 _ga_D491W728G4 _ga,,0,3,19,5,0,14,17,0,0,2,ninguno,3,2026-08-15T18:23:07.338Z
13,EC,1,mundo,UPenn,US,https://www.upenn.edu,true,,University of Pennsylvania,en,1,1,4,4,_gid _gat_UA-78054-1 _ga _ga_LL85393RFV,,0,2,4,1,0,3,4,0,0,0,ninguno,4,2026-08-15T18:23:14.587Z
14,EC,1,mundo,UCL,GB,https://www.ucl.ac.uk,true,,Welcome to UCL | University College London,en,1,1,2,0,,,1,0,0,0,0,0,0,0,0,0,AAA,3,2026-08-15T18:23:23.131Z
15,EC,1,mundo,Cornell,US,https://www.cornell.edu,true,,Cornell University,en,1,1,9,9,__utma __utmc __utmz __utmt __utmb _ga_PMZ19X3F8W _ga _ga_XJK3YSJ0LV nmstat,,0,1,4,0,0,4,4,0,0,0,AA,5,2026-08-15T18:23:33.211Z
16,EC,1,mundo,Tsinghua,CN,https://www.tsinghua.edu.cn/en/,true,,Tsinghua University,,1,1,1,0,,,0,10,49,39,6,4,11,32,1,5,ninguno,5,2026-08-15T18:23:43.129Z
17,EC,1,mundo,Peking,CN,https://english.pku.edu.cn,true,,Peking University,,1,1,4,3,Hm_lvt_6d2ad9d99c9136dab46c5f969e3bc9ed Hm_lpvt_6d2ad9d99c9136dab46c5f969e3bc9ed HMACCOUNT,,0,5,19,18,1,0,2,14,1,2,ninguno,3,2026-08-15T18:23:55.166Z
18,EC,1,mundo,Johns Hopkins,US,https://www.jhu.edu,true,,Johns Hopkins University,en,1,1,12,5,nmstat personalization_id _ga_TSX9K66082 _ga _ga_8031WYVC9V,,0,3,8,6,0,2,3,5,0,0,ninguno,4,2026-08-15T18:24:05.244Z
