id,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,nombres_rastreo,cmp,banner,ax_violaciones,ax_nodos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto
1,Mundo,MIT,EE.UU.,https://www.mit.edu,true,,MIT - Massachusetts Institute of Technology,en,1,1,0,0,,,0,3,8,1,6,1,1,6,0,1,ninguno
2,Mundo,Stanford,EE.UU.,https://www.stanford.edu,true,,Stanford University,en,1,1,10,4,YSC VISITOR_INFO1_LIVE _ga_Q0JD4PHRZ7 _ga,,0,1,11,0,0,11,11,0,0,0,AA
3,Mundo,Harvard,EE.UU.,https://www.harvard.edu,true,,Harvard University,en-US,1,1,8,5,_gid _gat_UA-2923555-1 _ga_KBLBYHG5EP _ga _fbp,,0,2,13,0,3,10,13,0,0,0,A
4,Mundo,Oxford,Reino Unido,https://www.ox.ac.uk,true,,University of Oxford,en,1,1,6,2,YSC VISITOR_INFO1_LIVE,,1,0,0,0,0,0,0,0,0,0,AAA
5,Mundo,Cambridge,Reino Unido,https://www.cam.ac.uk,true,,University of Cambridge,en,1,1,0,0,,,1,2,6,5,0,1,6,0,0,0,ninguno
6,Mundo,Caltech,EE.UU.,https://www.caltech.edu,true,,Home - www.caltech.edu,en,1,1,4,2,_ga_7RL83EX4D4 _ga,,0,4,30,5,0,25,28,0,0,2,ninguno
7,Mundo,UC Berkeley,EE.UU.,https://www.berkeley.edu,true,,"University of California, Berkeley: Home",en-US,1,1,10,5,YSC VISITOR_INFO1_LIVE nmstat _ga_JD06GX6S4V _ga,,0,0,0,0,0,0,0,0,0,0,AAA
8,Mundo,Princeton,EE.UU.,https://www.princeton.edu,true,,Home | Princeton University,en,1,1,2,2,_ga_92L6B9PQCG _ga,,0,0,0,0,0,0,0,0,0,0,AAA
9,Mundo,Imperial,Reino Unido,https://www.imperial.ac.uk,true,,Imperial College London,en-GB,1,1,6,0,,OneTrust,1,2,19,0,15,4,4,15,0,0,A
10,Mundo,U Chicago,EE.UU.,https://www.uchicago.edu,true,,The University of Chicago,en,1,1,19,9,_gid _gat_UA-373360-31 _gat_UA-3572058-26 _ga_2V4M4Z833J _ga _ga_DBDWJCS0JR _hjSessionUser_3545609 _hjSession_3545609 nmstat,,0,1,1,1,0,0,0,0,0,1,ninguno
11,Mundo,ETH Zurich,Suiza,https://ethz.ch,true,,ETH Zürich - Homepage | ETH Zürich,de,1,1,1,0,,OneTrust,1,2,2,1,0,1,2,0,0,0,ninguno
