id,grupo,sigla,universidad,pais,url,fecha,axe_version,ok,https,cookies_total_pre,cookies_rastreo_pre,nombres_pre,nombres_rastreo,cmp,banner,title,lang,viewport,skip_link,ax_violaciones,ax_nodos,nodos_A,nodos_AA,nodos_AAA,perceptible,operable,comprensible,robusto,max_nivel_sin_fallo,incompletos,passes
13,ecuador,UTC,Universidad Técnica de Cotopaxi,EC,https://www.utc.edu.ec,2026-08-14T06:39:56.657Z,4.13.0,yes,yes,10,2,dnn_IsMobile | language | .ASPXANONYMOUS | __RequestVerificationToken | __cf_bm | __Secure-YNID | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | __Secure-ROLLOUT_TOKEN,YSC | VISITOR_INFO1_LIVE,,no,Universidad Técnica de Cotopaxi > Home,es-ES,yes,no,5,40,39,1,0,19,19,0,2,ninguno,2,23
14,ecuador,UTMACH,Universidad Técnica de Machala,EC,https://www.utmachala.edu.ec,2026-08-14T06:40:01.775Z,4.13.0,yes,yes,0,0,,,,no,Universidad Técnica de Machala,es-ec,yes,no,4,8,2,6,0,7,1,0,0,ninguno,0,14
15,ecuador,UTM,Universidad Técnica de Manabí,EC,https://www.utm.edu.ec,2026-08-14T06:40:10.509Z,4.13.0,yes,yes,2,0,489c4e03dd158b76f3e726728ac0dc12 | sppb_user_timezone,,,no,Universidad Técnica de Manabí - Inicio,es-es,yes,no,5,39,23,7,9,14,12,0,13,ninguno,2,28
16,ecuador,UTN,Universidad Técnica del Norte,EC,https://www.utn.edu.ec,2026-08-14T06:40:17.863Z,4.13.0,yes,yes,3,2,_GRECAPTCHA | _ga_SBC1J4DHX0 | _ga,_ga_SBC1J4DHX0 | _ga,,no,Universidad Técnica del Norte – Ciencia y Técnica al Servicio del Pueblo,es,yes,no,4,23,9,5,9,15,8,0,0,ninguno,1,29
17,ecuador,UTEQ,Universidad Técnica Estatal de Quevedo,EC,https://www.uteq.edu.ec,2026-08-14T06:40:24.861Z,4.13.0,yes,yes,3,3,_ga_WVWWZZ7544 | _ga | _ga_SSTPXREYGZ,_ga_WVWWZZ7544 | _ga | _ga_SSTPXREYGZ,,no,UTEQ - Universidad Técnica Estatal de Quevedo,es,yes,no,5,110,109,0,1,7,0,0,103,ninguno,3,29
18,ecuador,UTELVT,Universidad Técnica Luis Vargas Torres de Esmeraldas,EC,https://www.utelvt.edu.ec,2026-08-14T06:40:35.349Z,4.13.0,yes,yes,0,0,,,,no,Universidad Técnica Luis Vargas Torres – Universidad Técnica Luis Vargas Torres,es,yes,no,4,32,6,9,17,27,5,0,0,ninguno,3,27
19,ecuador,UEB,Universidad Estatal de Bolívar,EC,https://www.ueb.edu.ec,2026-08-14T06:40:44.732Z,4.13.0,yes,yes,2,0,XSRF-TOKEN | ueb_session,,CookieYes,no,Universidad Estatal de Bolívar,es,yes,no,5,55,28,13,14,27,26,0,2,ninguno,3,30
20,ecuador,UNESUM,Universidad Estatal del Sur de Manabí,EC,https://unesum.edu.ec,2026-08-14T06:40:52.207Z,4.13.0,yes,yes,1,0,__cf_bm,,,no,UNIVERSIDAD ESTATAL DEL SUR DE MANABÍ – UNESUM,es,yes,no,2,8,8,0,0,1,7,0,0,ninguno,4,31
21,ecuador,UNEMI,Universidad Estatal de Milagro,EC,https://www.unemi.edu.ec,2026-08-14T06:41:00.997Z,4.13.0,yes,yes,2,2,_ga | _ga_MQGK6RGL8F,_ga | _ga_MQGK6RGL8F,,no,UNEMI - ¡La Universidad en línea del Ecuador!,es,yes,no,5,34,28,6,0,6,23,0,5,ninguno,4,31
22,ecuador,UEA,Universidad Estatal Amazónica,EC,https://www.uea.edu.ec,2026-08-14T06:41:12.184Z,4.13.0,yes,yes,2,2,_ga_450T1JQNMR | _ga,_ga_450T1JQNMR | _ga,,no,Universidad Estatal Amazónica – Educación con excelencia académica,es,yes,yes,1,17,0,17,0,17,0,0,0,A,4,29
23,ecuador,UPSE,Universidad Estatal Península de Santa Elena,EC,https://www.upse.edu.ec,2026-08-14T06:41:21.613Z,4.13.0,yes,yes,2,0,14e299400af5767870c264ab1b109c33 | sppb_user_timezone,,,no,UPSE,es-es,yes,no,3,7,1,6,0,4,2,0,1,ninguno,2,26
24,ecuador,ULEAM,Universidad Laica Eloy Alfaro de Manabí,EC,https://www.uleam.edu.ec,2026-08-14T06:41:36.640Z,4.13.0,yes,yes,4,4,_gid | _gat_gtag_UA_81009815_1 | _ga_12F9F68E6S | _ga,_gid | _gat_gtag_UA_81009815_1 | _ga_12F9F68E6S | _ga,,no,ULEAM,es,yes,no,8,36,20,7,9,18,8,0,10,ninguno,3,31
25,ecuador,UNACH,Universidad Nacional de Chimborazo,EC,https://www.unach.edu.ec,2026-08-14T06:41:46.165Z,4.13.0,yes,yes,5,4,_gid | _gat_gtag_UA_133447811_1 | _ga_YQBSJ5PHNG | _ga | srs_unique_visitor,_gid | _gat_gtag_UA_133447811_1 | _ga_YQBSJ5PHNG | _ga,,no,Inicio » Universidad Nacional de Chimborazo,es-CO,yes,yes,6,30,10,18,2,9,21,0,0,ninguno,4,31
26,ecuador,UNAE,Universidad Nacional de Educación,EC,https://unae.edu.ec,2026-08-14T06:41:56.053Z,4.13.0,yes,yes,12,7,_GRECAPTCHA | _ga_5FWX93M6TG | YSC | VISITOR_INFO1_LIVE | VISITOR_PRIVACY_METADATA | pll_language | _gid | _gat_gtag_UA_154339291_1 | __Secure-YNID | __Secure-ROLLOUT_TOKEN | _ga_R13W2764LB | _ga,_ga_5FWX93M6TG | YSC | VISITOR_INFO1_LIVE | _gid | _gat_gtag_UA_154339291_1 | _ga_R13W2764LB | _ga,,no,UNAE,es-ES,yes,yes,3,14,1,10,3,13,1,0,0,ninguno,2,31
27,ecuador,UPEC,Universidad Politécnica Estatal del Carchi,EC,https://upec.edu.ec,2026-08-14T06:42:08.590Z,4.13.0,yes,yes,11,0,PHPSESSID | sbjs_migrations | sbjs_current_add | sbjs_first_add | sbjs_current | sbjs_first | sbjs_udata | sbjs_session | __cf_bm | player | vuid,,,no,UPEC,es,yes,no,3,30,10,20,0,20,7,0,3,ninguno,5,34
28,ecuador,Yachay Tech,Universidad de Investigación de Tecnología Experimental Yachay,EC,https://yachaytech.edu.ec,2026-08-14T06:42:19.188Z,4.13.0,yes,yes,1,0,lp_session_guest,,,no,Universidad YachayTech – Hacemos ciencia y tecnología,es-EC,yes,yes,5,31,16,1,14,14,12,0,5,ninguno,2,34
29,ecuador,Ikiam,Universidad Regional Amazónica Ikiam,EC,https://www.ikiam.edu.ec,2026-08-14T06:42:26.985Z,4.13.0,yes,yes,2,2,_ga_HFS94B3LXM | _ga,_ga_HFS94B3LXM | _ga,,no,Universidad Regional Amazónica Ikiam,es,yes,no,3,41,14,24,3,27,14,0,0,ninguno,3,33
30,ecuador,UArtes,Universidad de las Artes,EC,https://www.uartes.edu.ec,2026-08-14T06:42:35.525Z,4.13.0,yes,yes,2,2,_ga_8044E6TKJB | _ga,_ga_8044E6TKJB | _ga,CookieYes,no,Universidad de las Artes - Universidad de las Artes,es-ES,yes,no,5,45,12,19,14,27,18,0,0,ninguno,3,34
31,ecuador,Amawtay Wasi,Universidad Intercultural de las Nacionalidades y Pueblos Indígenas Amawtay Wasi,EC,https://uaw.edu.ec,2026-08-14T06:42:42.898Z,4.13.0,yes,yes,2,0,__cf_ob | cf_clearance,,,no,Inicio UAW - Universidad Amawtay Wasi,es,yes,yes,4,30,3,24,3,29,1,0,0,ninguno,4,29
32,ecuador,USECIPOL,Universidad de Seguridad Ciudadana y Ciencias Policiales,EC,https://usecipol.edu.ec,2026-08-14T06:42:49.833Z,4.13.0,yes,yes,0,0,,,,no,USECIPOL | Universidad de Seguridad Ciudadana y Ciencias Policiales,es,yes,no,1,4,0,0,4,4,0,0,0,AA,2,31
