id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
23,mundo,U Tokyo,aria-hidden-focus,serious,4.1.2,Robusto,A,7,ARIA hidden element must not be focusable or contain focusable elements
23,mundo,U Tokyo,color-contrast,serious,1.4.3,Perceptible,AA,3,Elements must meet minimum color contrast ratio thresholds
23,mundo,U Tokyo,target-size,serious,2.5.8,Operable,AA,3,"All touch targets must be 24px large, or leave sufficient space"
23,mundo,U Tokyo,aria-allowed-attr,critical,4.1.2,Robusto,A,1,Elements must only use supported ARIA attributes
23,mundo,U Tokyo,aria-input-field-name,serious,4.1.2,Robusto,A,1,ARIA input fields must have an accessible name
23,mundo,U Tokyo,aria-required-children,critical,1.3.1,Perceptible,A,1,Certain ARIA roles must contain particular children
23,mundo,U Tokyo,nested-interactive,serious,4.1.2,Robusto,A,1,Interactive controls must not be nested
24,mundo,TUM,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,23,Elements must meet enhanced color contrast ratio thresholds
25,mundo,Melbourne,aria-required-children,critical,1.3.1,Perceptible,A,1,Certain ARIA roles must contain particular children
26,mundo,Edinburgh,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,36,Elements must meet enhanced color contrast ratio thresholds
26,mundo,Edinburgh,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
27,mundo,EPFL,color-contrast,serious,1.4.3,Perceptible,AA,85,Elements must meet minimum color contrast ratio thresholds
27,mundo,EPFL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,15,Elements must meet enhanced color contrast ratio thresholds
27,mundo,EPFL,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
28,mundo,Michigan,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,8,Elements must meet enhanced color contrast ratio thresholds
28,mundo,Michigan,target-size,serious,2.5.8,Operable,AA,5,"All touch targets must be 24px large, or leave sufficient space"
30,mundo,Fudan,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,23,Elements must meet enhanced color contrast ratio thresholds
30,mundo,Fudan,image-alt,critical,1.1.1,Perceptible,A,14,Images must have alternative text
30,mundo,Fudan,link-name,serious,2.4.4,Operable,A,3,Links must have discernible text
30,mundo,Fudan,color-contrast,serious,1.4.3,Perceptible,AA,2,Elements must meet minimum color contrast ratio thresholds
30,mundo,Fudan,html-has-lang,serious,3.1.1,Comprensible,A,1,<html> element must have a lang attribute
30,mundo,Fudan,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
31,mundo,PSL,color-contrast,serious,1.4.3,Perceptible,AA,11,Elements must meet minimum color contrast ratio thresholds
31,mundo,PSL,link-name,serious,2.4.4,Operable,A,7,Links must have discernible text
31,mundo,PSL,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,5,Elements must meet enhanced color contrast ratio thresholds
31,mundo,PSL,button-name,critical,4.1.2,Robusto,A,1,Buttons must have discernible text
31,mundo,PSL,target-size,serious,2.5.8,Operable,AA,1,"All touch targets must be 24px large, or leave sufficient space"
32,mundo,HKU,color-contrast,serious,1.4.3,Perceptible,AA,13,Elements must meet minimum color contrast ratio thresholds
32,mundo,HKU,aria-input-field-name,serious,4.1.2,Robusto,A,3,ARIA input fields must have an accessible name
32,mundo,HKU,nested-interactive,serious,4.1.2,Robusto,A,3,Interactive controls must not be nested
32,mundo,HKU,aria-allowed-attr,critical,4.1.2,Robusto,A,2,Elements must only use supported ARIA attributes
32,mundo,HKU,aria-valid-attr-value,critical,4.1.2,Robusto,A,2,ARIA attributes must conform to valid values
32,mundo,HKU,list,serious,1.3.1,Perceptible,A,2,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
