#,Universidad,Sigla,Tipo,Ciudad,Sitio,Verificacion,Cookies_antes_consentir,Nombres_cookies,Rastreo,CMP_live,Banner_live,Banner_estudio,PolCookies_estudio
27,Universidad Politécnica Estatal del Carchi,UPEC,Pública,Tulcán,https://upec.edu.ec,Verificado en vivo,7,"sbjs_migrations, sbjs_current_add, sbjs_first_add, sbjs_current, sbjs_first, sbjs_udata, sbjs_session",Si,CookieYes,No,No detectable,No
28,Universidad de Investigación de Tecnología Experimental Yachay,Yachay Tech,Pública,Urcuquí,https://yachaytech.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,No
29,Universidad Regional Amazónica Ikiam,Ikiam,Pública,Tena,https://www.ikiam.edu.ec,Verificado en vivo,2,"_ga_HFS94B3LXM, _ga",Si,CookieYes,No,No detectable,No
30,Universidad de las Artes,UArtes,Pública,Guayaquil,https://www.uartes.edu.ec,Verificado en vivo,2,"_ga_8044E6TKJB, _ga",Si,CookieYes,No,No detectable,No
31,Universidad Intercultural de las Nacionalidades y Pueblos Indígenas Amawtay Wasi,Amawtay Wasi,Pública,Quito,https://uaw.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,No
32,Universidad de Seguridad Ciudadana y Ciencias Policiales,USECIPOL,Pública,Quito,https://usecipol.edu.ec,Verificado en vivo,0,0,No,Ninguna,No,No detectable,No
33,Instituto de Altos Estudios Nacionales,IAEN,Pública,Quito,https://www.iaen.edu.ec,Verificado en vivo,0,0,No,Ninguna,No,Sí,Sí
34,"Universidad Andina Simón Bolívar, sede Ecuador",UASB,Pública,Quito,https://www.uasb.edu.ec,Verificado en vivo,22,"_gcl_au, _ga_8G7C03T250, pys_session_limit, pys_start_session, pys_first_visit, pysTrafficSource, pys_landing_page, last_pysTrafficSource, last_pys_landing_page, _fbp",Si,"Cookiebot, TCF, CookieYes",Sí,No detectable,Sí
35,FLACSO Ecuador,FLACSO,Pública,Quito,https://www.flacso.edu.ec,Verificado en vivo,4,"_ga_KVZM8KVKWH, _ga, _gid, _gat",Si,"TrustArc, CookieYes",No,No detectable,No
36,Pontificia Universidad Católica del Ecuador,PUCE,Cofinanciada,Quito,https://www.puce.edu.ec,Verificado en vivo,13,"_ga, _ga_H8JQ0KWN0K, _gcl_au, _ga_1TG94HC9HF, _fbp, _tt_enable_cookie, _ttp, _clck, _clsk, _hjSessionUser_4991704",Si,Ninguna,No,No detectable,No
37,Universidad Católica de Santiago de Guayaquil,UCSG,Cofinanciada,Guayaquil,https://www.ucsg.edu.ec,Verificado en vivo,15,"PHPSESSID, pmpro_visit, sbjs_migrations, sbjs_current_add, sbjs_first_add, sbjs_current, sbjs_first, sbjs_udata, sbjs_session, _ga_Z1DV026L7M",Si,"CookieYes, Complianz",Sí,Sí,Sí
38,Universidad Católica de Cuenca,UCACUE,Cofinanciada,Cuenca,https://www.ucacue.edu.ec,Verificado en vivo,17,"pys_session_limit, pys_start_session, pys_first_visit, pysTrafficSource, pys_landing_page, last_pysTrafficSource, last_pys_landing_page, _fbp, _ga_MSV6X9XSF1, _ga",Si,"Cookiebot, CookieYes",Sí,No detectable,No
39,Universidad Laica Vicente Rocafuerte de Guayaquil,ULVR,Cofinanciada,Guayaquil,https://www.ulvr.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,No
40,Universidad Técnica Particular de Loja,UTPL,Cofinanciada,Loja,https://www.utpl.edu.ec,Verificado en vivo,5,"_fbp, _ga, _ga_5W6THEE90T, _clck, _clsk",Si,Ninguna,No,No detectable,No
41,Universidad UTE,UTE,Cofinanciada,Quito,https://ute.edu.ec,Verificado en vivo,3,"burst_uid, _ga_GP7MSYBCD5, _ga",Si,CookieYes,No,No detectable,No
42,Universidad del Azuay,UDA,Cofinanciada,Cuenca,https://www.uazuay.edu.ec,Verificado en vivo,2,"_hjSessionUser_3811066, _hjSession_3811066",Si,TrustArc,Sí,No detectable,No
43,Universidad Politécnica Salesiana,UPS,Cofinanciada,Cuenca,https://www.ups.edu.ec,Verificado en vivo,17,"_gid, _gat, _gcl_au, _clck, LFR_SESSION_STATE_20102, _ga_G3SXTJRVXE, _ga, _fbp, _tt_enable_cookie, _ttp",Si,Ninguna,No,No detectable,No
44,Universidad Internacional SEK,UISEK,Autofinanciada,Quito,https://uisek.edu.ec,Verificado en vivo,14,"pvc_visits[0], _tt_enable_cookie, _ttp, _gid, _gat_UA-27018080-1, _gat_gtag_UA_120295323_1, _ga_XJR5CJJLR4, _ga, _ga_ES4V2WR0X1, _gcl_au",Si,Ninguna,No,No detectable,Sí
45,Universidad de Especialidades Espíritu Santo,UEES,Autofinanciada,Samborondón,https://uees.edu.ec,Verificado en vivo,17,"_gcl_au, _gid, _gat_UA-172180399-2, _gat_UA-217409406-3, _fbp, _ga, _tt_enable_cookie, _ttp, _twpid, _clck",Si,CookieYes,No,No detectable,No
46,Universidad San Francisco de Quito,USFQ,Autofinanciada,Quito,https://www.usfq.edu.ec,Verificado en vivo,3,"_ga_G80CBJM3N2, _ga, _fbp",Si,TrustArc,No,No detectable,No
47,Universidad de las Américas,UDLA,Autofinanciada,Quito,https://www.udla.edu.ec,Verificado en vivo,6,"NEXT_LOCALE, rxVisitor, dtSa, dtCookie, rxvt, dtPC",No,"Cookiebot, Usercentrics",Sí,No detectable,No
48,Universidad Internacional del Ecuador,UIDE,Autofinanciada,Quito,https://www.uide.edu.ec,Verificado en vivo,7,"_uetsid, _uetvid, cookieyes-consent, _pin_unauth, tfpsi, _clck, _clsk",Si,CookieYes,Sí,No detectable,Sí
49,Universidad Regional Autónoma de los Andes,UNIANDES,Autofinanciada,Ambato,https://www.uniandes.edu.ec,Verificado en vivo,0,0,No,CookieYes,No,No detectable,Sí
50,Universidad del Pacífico Escuela de Negocios,UPACÍFICO,Autofinanciada,Guayaquil,https://upacifico.edu.ec,Verificado en vivo,4,"_gcl_au, ma_popup_visitor, _ga_4DXVYNQP5Y, _ga",Si,CookieYes,No,No detectable,No
51,Universidad Tecnológica Indoamérica,UTI,Autofinanciada,Ambato,https://www.indoamerica.edu.ec,Verificado en vivo,24,"pys_session_limit, pys_start_session, pys_first_visit, pysTrafficSource, pys_landing_page, last_pysTrafficSource, last_pys_landing_page, _fbp, _cs_c, _cs_id",Si,"Cookiebot, CookieYes",No,No detectable,No
52,Universidad Casa Grande,Casa Grande,Autofinanciada,Guayaquil,https://www.casagrande.edu.ec,Verificado en vivo,4,"_gcl_au, _ga_9X04C12TB4, _ga, _fbp",Si,Ninguna,No,No detectable,No
