grupo,\#,Abbr.,C,QS,THE,ARWU,Not.,Frm.,Rts.,DPO,Ckp.,Acc.,Type,Notice,LOPDP,Rights,Transp.
ecuador,13,UTC,,,,,,,,no,,no,P,si,no,no,nv
ecuador,14,UTMACH,,,,,,,,si,,no,P,si,si,si,si
ecuador,15,UTM,,,,,,,,no,,no,P,no,no,no,si
ecuador,16,UTN,,,,,,,,no,,no,P,,si,si,si
ecuador,17,UTEQ,,,,,,,,no,,no,P,,si,no,si
ecuador,18,UTELVT,,,,,,,,no,,no,P,no,no,no,si
ecuador,19,UEB,,,,,,,,nv,,si,P,si,nv,nv,si
ecuador,20,UNESUM,,,,,,,,no,,no,P,,nv,no,si
ecuador,21,UNEMI,,,,,,,,no,,no,P,si,si,si,si
ecuador,22,UEA,,,,,,,,no,,no,P,si,no,si,si
ecuador,23,UPSE,,,,,,,,si,,,P,,si,si,si
ecuador,24,ULEAM,,,,,,,,no,,no,P,no,no,no,si
ecuador,25,UNACH,,,,,,,,si,,si,P,si,si,si,si
ecuador,26,UNAE,,,,,,,,no,,no,P,no,no,no,si
ecuador,27,UPEC,,,,,,,,no,,no,P,no,,no,si
ecuador,28,Yachay Tech,,,,,,,,no,,no,P,no,no,no,si
ecuador,29,Ikiam,,,,,,,,si,,no,P,si,si,si,si
ecuador,30,UArtes,,,,,,,,si,,no,P,si,si,si,si
ecuador,31,Amawtay Wasi,,,,,,,,no,,no,P,no,no,no,si
ecuador,32,USECIPOL$^$,,,,,,,,no,,no,P,,no,no,si
ecuador,33,IAEN,,,,,,,,no,,si,P,si,si,si,si
ecuador,34,UASB,,,,,,,,si,,no,P,si,si,si,si
ecuador,35,FLACSO,,,,,,,,no,,no,P,no,no,no,si
ecuador,36,PUCE,,,,,,,,si,,no,C,si,si,si,si
ecuador,37,UCSG,,,,,,,,si,,no,C,si,si,si,si
ecuador,38,UCACUE,,,,,,,,si,,si,C,si,si,si,si
ecuador,39,ULVR,,,,,,,,no,,no,C,no,no,no,si
ecuador,40,UTPL,,,,,,,,si,,no,C,si,si,si,nv
ecuador,41,UTE,,,,,,,,no,,si,C,si,no,no,nv
ecuador,42,UDA,,,,,,,,no,,no,C,no,no,no,si
ecuador,43,UPS,,,,,,,,no,,no,C,si,si,si,si
ecuador,44,UISEK,,,,,,,,no,,no,A,si,no,si,no
ecuador,45,UEES,,,,,,,,si,,no,A,si,si,si,no
ecuador,46,USFQ,,,,,,,,si,,no,A,si,si,si,no
ecuador,47,UDLA,,,,,,,,si,,no,A,si,si,si,no
ecuador,48,UIDE,,,,,,,,si,,no,A,si,si,si,si
ecuador,49,UNIANDES,,,,,,,,no,,no,A,si,no,si,no
ecuador,50,UPAC\'IFICO,,,,,,,,no,,no,A,nv,no,no,no
ecuador,51,UTI,,,,,,,,no,,no,A,si,no,si,si
ecuador,52,Casa Grande,,,,,,,,si,,no,A,si,si,si,no
ecuador,53,UTEG,,,,,,,,si,,no,A,si,si,si,si
ecuador,54,UISRAEL,,,,,,,,nv,,nv,A,si,nv,nv,nv
ecuador,55,UDET,,,,,,,,no,,no,A,no,no,no,no
ecuador,56,UMET,,,,,,,,nv,,no,A,si,nv,nv,si
ecuador,57,U.\ Otavalo,,,,,,,,no,,no,A,nv,nv,no,nv
ecuador,58,USGP,,,,,,,,si,,no,A,si,si,si,si
ecuador,59,U.\ Hemisferios,,,,,,,,si,,no,A,si,si,si,si
ecuador,60,UNIB.E,,,,,,,,no,,no,A,si,no,si,no
ecuador,61,ECOTEC,,,,,,,,si,,no,A,si,si,si,si
ecuador,62,UDR,,,,,,,,no,,no,A,no,no,no,no
ecuador,63,UBE,,,,,,,,si,,si,A,si,si,si,no
