id,grupo,sigla,regla,impacto,criterio,principio,nivel,nodos,ayuda
15,ecuador,UTM,link-name,serious,2.4.4,Operable,A,10,Links must have discernible text
15,ecuador,UTM,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
15,ecuador,UTM,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
15,ecuador,UTM,target-size,serious,2.5.8,Operable,AA,2,"All touch targets must be 24px large, or leave sufficient space"
16,ecuador,UTN,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
16,ecuador,UTN,link-name,serious,2.4.4,Operable,A,8,Links must have discernible text
16,ecuador,UTN,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
16,ecuador,UTN,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
17,ecuador,UTEQ,aria-hidden-focus,serious,4.1.2,Robusto,A,103,ARIA hidden element must not be focusable or contain focusable elements
17,ecuador,UTEQ,listitem,serious,1.3.1,Perceptible,A,3,<li> elements must be contained in a <ul> or <ol>
17,ecuador,UTEQ,list,serious,1.3.1,Perceptible,A,2,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
17,ecuador,UTEQ,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,1,Elements must meet enhanced color contrast ratio thresholds
17,ecuador,UTEQ,image-alt,critical,1.1.1,Perceptible,A,1,Images must have alternative text
18,ecuador,UTELVT,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,17,Elements must meet enhanced color contrast ratio thresholds
18,ecuador,UTELVT,color-contrast,serious,1.4.3,Perceptible,AA,9,Elements must meet minimum color contrast ratio thresholds
18,ecuador,UTELVT,link-name,serious,2.4.4,Operable,A,5,Links must have discernible text
18,ecuador,UTELVT,link-in-text-block,serious,1.4.1,Perceptible,A,1,Links must be distinguishable without relying on color
19,ecuador,UEB,link-name,serious,2.4.4,Operable,A,26,Links must have discernible text
19,ecuador,UEB,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,14,Elements must meet enhanced color contrast ratio thresholds
19,ecuador,UEB,color-contrast,serious,1.4.3,Perceptible,AA,13,Elements must meet minimum color contrast ratio thresholds
19,ecuador,UEB,aria-prohibited-attr,serious,4.1.2,Robusto,A,1,Elements must only use permitted ARIA attributes
19,ecuador,UEB,button-name,critical,4.1.2,Robusto,A,1,Buttons must have discernible text
20,ecuador,UNESUM,link-name,serious,2.4.4,Operable,A,7,Links must have discernible text
20,ecuador,UNESUM,aria-required-children,critical,1.3.1,Perceptible,A,1,Certain ARIA roles must contain particular children
21,ecuador,UNEMI,link-name,serious,2.4.4,Operable,A,23,Links must have discernible text
21,ecuador,UNEMI,color-contrast,serious,1.4.3,Perceptible,AA,6,Elements must meet minimum color contrast ratio thresholds
21,ecuador,UNEMI,nested-interactive,serious,4.1.2,Robusto,A,3,Interactive controls must not be nested
21,ecuador,UNEMI,aria-input-field-name,serious,4.1.2,Robusto,A,1,ARIA input fields must have an accessible name
21,ecuador,UNEMI,frame-title,serious,4.1.2,Robusto,A,1,Frames must have an accessible name
22,ecuador,UEA,color-contrast,serious,1.4.3,Perceptible,AA,17,Elements must meet minimum color contrast ratio thresholds
23,ecuador,UPSE,color-contrast,serious,1.4.3,Perceptible,AA,4,Elements must meet minimum color contrast ratio thresholds
23,ecuador,UPSE,target-size,serious,2.5.8,Operable,AA,2,"All touch targets must be 24px large, or leave sufficient space"
23,ecuador,UPSE,aria-hidden-focus,serious,4.1.2,Robusto,A,1,ARIA hidden element must not be focusable or contain focusable elements
24,ecuador,ULEAM,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,9,Elements must meet enhanced color contrast ratio thresholds
24,ecuador,ULEAM,link-name,serious,2.4.4,Operable,A,8,Links must have discernible text
24,ecuador,ULEAM,color-contrast,serious,1.4.3,Perceptible,AA,7,Elements must meet minimum color contrast ratio thresholds
24,ecuador,ULEAM,nested-interactive,serious,4.1.2,Robusto,A,5,Interactive controls must not be nested
24,ecuador,ULEAM,button-name,critical,4.1.2,Robusto,A,3,Buttons must have discernible text
24,ecuador,ULEAM,aria-required-children,critical,1.3.1,Perceptible,A,2,Certain ARIA roles must contain particular children
24,ecuador,ULEAM,aria-input-field-name,serious,4.1.2,Robusto,A,1,ARIA input fields must have an accessible name
24,ecuador,ULEAM,frame-title,serious,4.1.2,Robusto,A,1,Frames must have an accessible name
25,ecuador,UNACH,target-size,serious,2.5.8,Operable,AA,12,"All touch targets must be 24px large, or leave sufficient space"
25,ecuador,UNACH,link-name,serious,2.4.4,Operable,A,9,Links must have discernible text
25,ecuador,UNACH,color-contrast,serious,1.4.3,Perceptible,AA,5,Elements must meet minimum color contrast ratio thresholds
25,ecuador,UNACH,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,2,Elements must meet enhanced color contrast ratio thresholds
25,ecuador,UNACH,list,serious,1.3.1,Perceptible,A,1,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements"
25,ecuador,UNACH,meta-viewport,moderate,1.4.4,Perceptible,AA,1,Zooming and scaling must not be disabled
26,ecuador,UNAE,color-contrast,serious,1.4.3,Perceptible,AA,10,Elements must meet minimum color contrast ratio thresholds
26,ecuador,UNAE,color-contrast-enhanced,serious,1.4.6,Perceptible,AAA,3,Elements must meet enhanced color contrast ratio thresholds
26,ecuador,UNAE,link-name,serious,2.4.4,Operable,A,1,Links must have discernible text
