grupo,abbr,indicador,columna_apendice,valor,corregida_reverificacion
ecuador,UNACH,marco_normativo,LOPDP,si,no
ecuador,UNACH,derechos,Rights,si,no
ecuador,UNACH,contacto_dpo,DPO,si,no
ecuador,UNACH,declaracion_accesibilidad,Acc.,si,no
ecuador,UNACH,transparencia_lotaip,Transp.,si,no
ecuador,UNAE,aviso_privacidad,Notice,no,no
ecuador,UNAE,marco_normativo,LOPDP,no,no
ecuador,UNAE,derechos,Rights,no,no
ecuador,UNAE,contacto_dpo,DPO,no,no
ecuador,UNAE,declaracion_accesibilidad,Acc.,no,no
ecuador,UNAE,transparencia_lotaip,Transp.,si,no
ecuador,UPEC,aviso_privacidad,Notice,no,no
ecuador,UPEC,marco_normativo,LOPDP,parcial,no
ecuador,UPEC,derechos,Rights,no,no
ecuador,UPEC,contacto_dpo,DPO,no,no
ecuador,UPEC,declaracion_accesibilidad,Acc.,no,no
ecuador,UPEC,transparencia_lotaip,Transp.,si,no
ecuador,Yachay Tech,aviso_privacidad,Notice,no,no
ecuador,Yachay Tech,marco_normativo,LOPDP,no,no
ecuador,Yachay Tech,derechos,Rights,no,no
ecuador,Yachay Tech,contacto_dpo,DPO,no,no
ecuador,Yachay Tech,declaracion_accesibilidad,Acc.,no,no
ecuador,Yachay Tech,transparencia_lotaip,Transp.,si,no
ecuador,Ikiam,aviso_privacidad,Notice,si,no
ecuador,Ikiam,marco_normativo,LOPDP,si,no
ecuador,Ikiam,derechos,Rights,si,no
ecuador,Ikiam,contacto_dpo,DPO,si,no
ecuador,Ikiam,declaracion_accesibilidad,Acc.,no,no
ecuador,Ikiam,transparencia_lotaip,Transp.,si,no
ecuador,UArtes,aviso_privacidad,Notice,si,no
ecuador,UArtes,marco_normativo,LOPDP,si,no
ecuador,UArtes,derechos,Rights,si,no
ecuador,UArtes,contacto_dpo,DPO,si,no
ecuador,UArtes,declaracion_accesibilidad,Acc.,no,no
ecuador,UArtes,transparencia_lotaip,Transp.,si,no
ecuador,Amawtay Wasi,aviso_privacidad,Notice,no,no
ecuador,Amawtay Wasi,marco_normativo,LOPDP,no,no
ecuador,Amawtay Wasi,derechos,Rights,no,no
ecuador,Amawtay Wasi,contacto_dpo,DPO,no,no
ecuador,Amawtay Wasi,declaracion_accesibilidad,Acc.,no,no
ecuador,Amawtay Wasi,transparencia_lotaip,Transp.,si,no
ecuador,USECIPOL,aviso_privacidad,Notice,parcial,no
ecuador,USECIPOL,marco_normativo,LOPDP,no,no
ecuador,USECIPOL,derechos,Rights,no,no
ecuador,USECIPOL,contacto_dpo,DPO,no,no
ecuador,USECIPOL,declaracion_accesibilidad,Acc.,no,no
ecuador,USECIPOL,transparencia_lotaip,Transp.,si,no
ecuador,IAEN,aviso_privacidad,Notice,si,no
ecuador,IAEN,marco_normativo,LOPDP,si,no
ecuador,IAEN,derechos,Rights,si,no
ecuador,IAEN,contacto_dpo,DPO,no,no
ecuador,IAEN,declaracion_accesibilidad,Acc.,si,no
ecuador,IAEN,transparencia_lotaip,Transp.,si,no
ecuador,UASB,aviso_privacidad,Notice,si,no
ecuador,UASB,marco_normativo,LOPDP,si,no
ecuador,UASB,derechos,Rights,si,no
ecuador,UASB,contacto_dpo,DPO,si,no
ecuador,UASB,declaracion_accesibilidad,Acc.,no,no
ecuador,UASB,transparencia_lotaip,Transp.,si,no
ecuador,FLACSO,aviso_privacidad,Notice,no,no
ecuador,FLACSO,marco_normativo,LOPDP,no,no
ecuador,FLACSO,derechos,Rights,no,no
ecuador,FLACSO,contacto_dpo,DPO,no,no
ecuador,FLACSO,declaracion_accesibilidad,Acc.,no,no
ecuador,FLACSO,transparencia_lotaip,Transp.,si,no
ecuador,PUCE,aviso_privacidad,Notice,si,no
ecuador,PUCE,marco_normativo,LOPDP,si,no
ecuador,PUCE,derechos,Rights,si,no
ecuador,PUCE,contacto_dpo,DPO,si,no
ecuador,PUCE,declaracion_accesibilidad,Acc.,no,no
ecuador,PUCE,transparencia_lotaip,Transp.,si,no
ecuador,UCSG,aviso_privacidad,Notice,si,no
ecuador,UCSG,marco_normativo,LOPDP,si,no
ecuador,UCSG,derechos,Rights,si,no
ecuador,UCSG,contacto_dpo,DPO,si,no
ecuador,UCSG,declaracion_accesibilidad,Acc.,no,no
ecuador,UCSG,transparencia_lotaip,Transp.,si,no
ecuador,UCACUE,aviso_privacidad,Notice,si,no
ecuador,UCACUE,marco_normativo,LOPDP,si,no
ecuador,UCACUE,derechos,Rights,si,no
ecuador,UCACUE,contacto_dpo,DPO,si,no
ecuador,UCACUE,declaracion_accesibilidad,Acc.,si,no
ecuador,UCACUE,transparencia_lotaip,Transp.,si,no
ecuador,ULVR,aviso_privacidad,Notice,no,no
ecuador,ULVR,marco_normativo,LOPDP,no,no
ecuador,ULVR,derechos,Rights,no,no
ecuador,ULVR,contacto_dpo,DPO,no,no
ecuador,ULVR,declaracion_accesibilidad,Acc.,no,no
ecuador,ULVR,transparencia_lotaip,Transp.,si,no
ecuador,UTPL,aviso_privacidad,Notice,si,no
ecuador,UTPL,marco_normativo,LOPDP,si,no
ecuador,UTPL,derechos,Rights,si,no
ecuador,UTPL,contacto_dpo,DPO,si,no
ecuador,UTPL,declaracion_accesibilidad,Acc.,no,no
ecuador,UTPL,transparencia_lotaip,Transp.,nv,no
ecuador,UTE,aviso_privacidad,Notice,si,no
ecuador,UTE,marco_normativo,LOPDP,no,no
ecuador,UTE,derechos,Rights,no,no
ecuador,UTE,contacto_dpo,DPO,no,no
ecuador,UTE,declaracion_accesibilidad,Acc.,si,no
ecuador,UTE,transparencia_lotaip,Transp.,nv,no
ecuador,UDA,aviso_privacidad,Notice,no,no
ecuador,UDA,marco_normativo,LOPDP,no,no
ecuador,UDA,derechos,Rights,no,no
ecuador,UDA,contacto_dpo,DPO,no,no
ecuador,UDA,declaracion_accesibilidad,Acc.,no,no
ecuador,UDA,transparencia_lotaip,Transp.,si,no
ecuador,UPS,aviso_privacidad,Notice,si,no
ecuador,UPS,marco_normativo,LOPDP,si,no
ecuador,UPS,derechos,Rights,si,no
ecuador,UPS,contacto_dpo,DPO,no,no
ecuador,UPS,declaracion_accesibilidad,Acc.,no,no
ecuador,UPS,transparencia_lotaip,Transp.,si,no
ecuador,UISEK,aviso_privacidad,Notice,si,no
ecuador,UISEK,marco_normativo,LOPDP,no,no
ecuador,UISEK,derechos,Rights,si,no
ecuador,UISEK,contacto_dpo,DPO,no,no
ecuador,UISEK,declaracion_accesibilidad,Acc.,no,no
ecuador,UISEK,transparencia_lotaip,Transp.,no,no
ecuador,UEES,aviso_privacidad,Notice,si,no
ecuador,UEES,marco_normativo,LOPDP,si,no
ecuador,UEES,derechos,Rights,si,no
ecuador,UEES,contacto_dpo,DPO,si,no
ecuador,UEES,declaracion_accesibilidad,Acc.,no,no
ecuador,UEES,transparencia_lotaip,Transp.,no,no
ecuador,USFQ,aviso_privacidad,Notice,si,no
ecuador,USFQ,marco_normativo,LOPDP,si,no
ecuador,USFQ,derechos,Rights,si,no
ecuador,USFQ,contacto_dpo,DPO,si,no
ecuador,USFQ,declaracion_accesibilidad,Acc.,no,no
ecuador,USFQ,transparencia_lotaip,Transp.,no,no
ecuador,UDLA,aviso_privacidad,Notice,si,no
ecuador,UDLA,marco_normativo,LOPDP,si,no
ecuador,UDLA,derechos,Rights,si,no
ecuador,UDLA,contacto_dpo,DPO,si,no
ecuador,UDLA,declaracion_accesibilidad,Acc.,no,no
ecuador,UDLA,transparencia_lotaip,Transp.,no,no
ecuador,UIDE,aviso_privacidad,Notice,si,no
ecuador,UIDE,marco_normativo,LOPDP,si,no
ecuador,UIDE,derechos,Rights,si,no
ecuador,UIDE,contacto_dpo,DPO,si,no
ecuador,UIDE,declaracion_accesibilidad,Acc.,no,no
ecuador,UIDE,transparencia_lotaip,Transp.,si,no
ecuador,UNIANDES,aviso_privacidad,Notice,si,no
ecuador,UNIANDES,marco_normativo,LOPDP,no,no
ecuador,UNIANDES,derechos,Rights,si,no
ecuador,UNIANDES,contacto_dpo,DPO,no,no
ecuador,UNIANDES,declaracion_accesibilidad,Acc.,no,no
ecuador,UNIANDES,transparencia_lotaip,Transp.,no,no
ecuador,UPACIFICO,aviso_privacidad,Notice,nv,no
ecuador,UPACIFICO,marco_normativo,LOPDP,no,no
ecuador,UPACIFICO,derechos,Rights,no,no
ecuador,UPACIFICO,contacto_dpo,DPO,no,no
ecuador,UPACIFICO,declaracion_accesibilidad,Acc.,no,no
ecuador,UPACIFICO,transparencia_lotaip,Transp.,no,no
ecuador,UTI,aviso_privacidad,Notice,si,no
ecuador,UTI,marco_normativo,LOPDP,no,no
ecuador,UTI,derechos,Rights,si,no
ecuador,UTI,contacto_dpo,DPO,no,no
ecuador,UTI,declaracion_accesibilidad,Acc.,no,no
ecuador,UTI,transparencia_lotaip,Transp.,si,no
ecuador,Casa Grande,aviso_privacidad,Notice,si,no
ecuador,Casa Grande,marco_normativo,LOPDP,si,no
ecuador,Casa Grande,derechos,Rights,si,no
ecuador,Casa Grande,contacto_dpo,DPO,si,no
ecuador,Casa Grande,declaracion_accesibilidad,Acc.,no,no
ecuador,Casa Grande,transparencia_lotaip,Transp.,no,no
ecuador,UTEG,aviso_privacidad,Notice,si,no
ecuador,UTEG,marco_normativo,LOPDP,si,no
ecuador,UTEG,derechos,Rights,si,no
ecuador,UTEG,contacto_dpo,DPO,si,no
ecuador,UTEG,declaracion_accesibilidad,Acc.,no,no
ecuador,UTEG,transparencia_lotaip,Transp.,si,no
ecuador,UISRAEL,aviso_privacidad,Notice,si,no
ecuador,UISRAEL,marco_normativo,LOPDP,nv,no
ecuador,UISRAEL,derechos,Rights,nv,no
ecuador,UISRAEL,contacto_dpo,DPO,nv,no
ecuador,UISRAEL,declaracion_accesibilidad,Acc.,nv,no
ecuador,UISRAEL,transparencia_lotaip,Transp.,nv,no
ecuador,UDET,aviso_privacidad,Notice,no,no
ecuador,UDET,marco_normativo,LOPDP,no,no
ecuador,UDET,derechos,Rights,no,no
ecuador,UDET,contacto_dpo,DPO,no,no
ecuador,UDET,declaracion_accesibilidad,Acc.,no,no
ecuador,UDET,transparencia_lotaip,Transp.,no,no
ecuador,UMET,aviso_privacidad,Notice,si,no
ecuador,UMET,marco_normativo,LOPDP,nv,no
ecuador,UMET,derechos,Rights,nv,no
ecuador,UMET,contacto_dpo,DPO,nv,no
ecuador,UMET,declaracion_accesibilidad,Acc.,no,no
ecuador,UMET,transparencia_lotaip,Transp.,si,no
ecuador,U. Otavalo,aviso_privacidad,Notice,nv,no
ecuador,U. Otavalo,marco_normativo,LOPDP,nv,no
ecuador,U. Otavalo,derechos,Rights,no,no
ecuador,U. Otavalo,contacto_dpo,DPO,no,no
ecuador,U. Otavalo,declaracion_accesibilidad,Acc.,no,no
ecuador,U. Otavalo,transparencia_lotaip,Transp.,nv,no
ecuador,USGP,aviso_privacidad,Notice,si,no
ecuador,USGP,marco_normativo,LOPDP,si,no
ecuador,USGP,derechos,Rights,si,no
ecuador,USGP,contacto_dpo,DPO,si,no
ecuador,USGP,declaracion_accesibilidad,Acc.,no,no
ecuador,USGP,transparencia_lotaip,Transp.,si,no
ecuador,U. Hemisferios,aviso_privacidad,Notice,si,no
ecuador,U. Hemisferios,marco_normativo,LOPDP,si,no
ecuador,U. Hemisferios,derechos,Rights,si,no
ecuador,U. Hemisferios,contacto_dpo,DPO,si,no
ecuador,U. Hemisferios,declaracion_accesibilidad,Acc.,no,no
ecuador,U. Hemisferios,transparencia_lotaip,Transp.,si,no
ecuador,UNIB.E,aviso_privacidad,Notice,si,no
ecuador,UNIB.E,marco_normativo,LOPDP,no,no
ecuador,UNIB.E,derechos,Rights,si,no
ecuador,UNIB.E,contacto_dpo,DPO,no,no
ecuador,UNIB.E,declaracion_accesibilidad,Acc.,no,no
ecuador,UNIB.E,transparencia_lotaip,Transp.,no,no
ecuador,ECOTEC,aviso_privacidad,Notice,si,no
ecuador,ECOTEC,marco_normativo,LOPDP,si,no
ecuador,ECOTEC,derechos,Rights,si,no
ecuador,ECOTEC,contacto_dpo,DPO,si,no
ecuador,ECOTEC,declaracion_accesibilidad,Acc.,no,no
ecuador,ECOTEC,transparencia_lotaip,Transp.,si,no
ecuador,UDR,aviso_privacidad,Notice,no,no
ecuador,UDR,marco_normativo,LOPDP,no,no
ecuador,UDR,derechos,Rights,no,no
ecuador,UDR,contacto_dpo,DPO,no,no
ecuador,UDR,declaracion_accesibilidad,Acc.,no,no
ecuador,UDR,transparencia_lotaip,Transp.,no,no
ecuador,UBE,aviso_privacidad,Notice,si,no
ecuador,UBE,marco_normativo,LOPDP,si,no
ecuador,UBE,derechos,Rights,si,no
ecuador,UBE,contacto_dpo,DPO,si,no
ecuador,UBE,declaracion_accesibilidad,Acc.,si,no
ecuador,UBE,transparencia_lotaip,Transp.,no,no
