id,group,abbr,page_url,criterion,act_rule,element_n,tag,selector,accessible_name,name_source,full_src,src_source,srcset,css_width,css_height,natural_width,natural_height,containing_link,nearby_text,svg_markup,evaluator_code,date,outcome_TOFILL,justification_TOFILL
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,26,img,div.paragraph > div.home-first > div.home-first__bg-image > img,hkust firsts background,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_hero_banner/public/2024-08/4V5A0496%201.png?itok=eV9ch5LF,currentSrc,,756,677,1920,1080,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,27,img,div.home-first > div.home-first__wrapper > div.home-first__text-image > img,first,alt,https://hkust.edu.hk/sites/default/files/2025-02/Our%20Firsts.svg,currentSrc,,200,47,569,134,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,28,img,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,HKUST Develops World's First AI Slide-Free Pathology Imaging System,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_first/public/news/30845/Photo%201_13.jpg?itok=NVsJDbrj,src,,301,200,,,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,29,img,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,World’s First Lightweight High Resolution High Precision CO₂ and CH₄ Point Source Detector “MUSICO” Arrives at Tiangong Space Station via Tianzhou-10,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_first/public/news/30796/AGS_3923_edited.jpg?itok=NDDL_8O9,src,,301,200,,,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,30,img,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,Photo 1,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_first/public/news/30783/Photo%201_final_3.jpg?itok=cZHbZ5tF,src,,301,200,,,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,31,img,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,"Prof. Hu Wenqi (right), his postgraduate student Chen Xi (left), and other research team members at HKUST develop the world's first bio-inspired artificial cilia system, advancing breakthroughs in medical and microrobotics applications.",alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_first/public/news/30748/Photo%201.jpg?itok=MycdsSlJ,src,,301,200,,,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,32,img,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,group photo,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_first/public/news/30667/Photo%201_11.jpg?itok=k4Zu-e9h,src,,301,200,,,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,33,img,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,Dr. Shen Xinyi (center) holds his certified all-vacuum-deposited perovskite solar cell with Prof. Lin Yen-Hung (left) and Dr. Fion Yeung (right).,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_first/public/news/30664/%E5%90%88%E7%85%A7.jpg?itok=cWiejZ-D,src,,301,200,,,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,34,img,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,"HKUST Develops World’s First Sub-Zero Celsius Elastocaloric Green Freezer, Reshaping Freezing Industry with its Zero Emissions",alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_first/public/news/30622/Photo%201_5.jpg?itok=cpZaW71f,src,,301,200,,,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,35,img,span.field-content > div.first-news-item > div.first-news-item__image > img.image-style-hkust-home-first,Deep-Sea Multi-Omics Resource Platform,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_first/public/news/30590/thumbnail.jpg?itok=lA839zDq,src,,301,200,,,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,36,svg,#Layer_1,.st0{fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st1{clip-path:url(#SVGID_00000120528766183025778980000004212692483794008448_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st2{clip-path:url(#SVGID_00000033359226881078764230000000270830281838994049_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st3{clip-path:url(#SVGID_00000034779095163036372700000015368412799842241667_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st4{clip-path:url(#SVGID_00000152948081283141966850000014582099007709508270_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st5{clip-path:url(#SVGID_00000114781979593263241400000002230681127890612127_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st6{clip-path:url(#SVGID_00000093877201229590025550000015255825841876214461_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st7{clip-path:url(#SVGID_00000059276360178841607050000010767795574737065390_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st8{clip-path:url(#SVGID_00000122682808457875439760000000278470977172611731_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st9{clip-path:url(#SVGID_00000026847776957354755600000012457419052014176172_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st10{clip-path:url(#SVGID_00000155128426782703892770000001087398355476316801_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;},otro,,svg en linea,,340,140,,,,.st0{fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st1{clip-path:url(#SVGID_00000120528766183025778980000004212692483794008448_);fill:none;stroke:#CC9900;strok,"<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px"" viewBox=""0 0 2177 894.9"" style=""enable-background:new 0 0 2177 894.9;"" xml:space=""preserve""> <style type=""text/css""> .st0{fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st1{clip-path:url(#SVGID_00000120528766183025778980000004212692483794008448_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st2{clip-path:url(#SVGID_00000033359226881078764230000000270830281838994049_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st3{clip-path:url(#SVGID_00000034779095163036372700000015368412799842241667_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st4{clip-path:url(#SVGID_00000152948081283141966850000014582099007709508270_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st5{clip-path:url(#SVGID_00000114781979593263241400000002230681127890612127_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st6{clip-path:url(#SVGID_00000093877201229590025550000015255825841876214461_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st7{clip-path:url(#SVGID_00000059276360178841607050000010767795574737065390_);fill:none;stroke:#CC9900;stroke-width:55;stroke-linecap:round;stroke-linejoin:round;} .st8{clip-p",R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,46,img,span.field-content > div.home-awards-item > div.home-awards-item__bg > img.home-awards__mobile-image,Prof. Haipeng LU,alt,https://hkust.edu.hk/sites/default/files/styles/large/public/awards/CHEM_Prof_LU_Haipeng.jpg?itok=TkSacNsO,currentSrc,,220,220,480,480,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,48,img,span.field-content > div.home-awards-item > div.home-awards-item__bg > img.home-awards__mobile-image,Prof. Bo LI,alt,https://hkust.edu.hk/sites/default/files/styles/large/public/awards/bli_-3_-1.jpg?itok=1yo9qxWO,currentSrc,,220,220,480,480,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,50,img,span.field-content > div.home-awards-item > div.home-awards-item__bg > img.home-awards__mobile-image,Prof. LI Mo,alt,https://hkust.edu.hk/sites/default/files/styles/large/public/awards/Mo_LI_Sq.jpg?itok=Lk7AbMUC,currentSrc,,220,220,480,480,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,52,img,span.field-content > div.home-awards-item > div.home-awards-item__bg > img.home-awards__mobile-image,PetWell HK Limited - Sabrina CHU,alt,https://hkust.edu.hk/sites/default/files/styles/large/public/awards/Start-up_Express_2026_PetWell_HK_Limited%252C_Top_10_Winner.png?itok=Fy7easvQ,currentSrc,,220,220,480,480,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,53,img,div.container > div.home-sustain__description > div.home-sustain__logo > img,sustainable development goals,alt,https://hkust.edu.hk/sites/default/files/2024-03/sustainable%20development.png,currentSrc,,227,120,284,150,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,54,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 1,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_1.png?itok=iYthAnh8,currentSrc,,706,225,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,55,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 2,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_2.png?itok=SplxdFoI,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,56,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 3,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_3.png?itok=_DUXi63o,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
58,mundo,HKUST,https://hkust.edu.hk/,1.1.1,qt1vmo,57,img,div.home-sustain__slider--slide > div.home-sustain__item > div.home-sustain__item--bg > img,SDG 4,alt,https://hkust.edu.hk/sites/default/files/styles/hkust_home_sdgs/public/2025-01/SDG_4.png?itok=WsN420ew,currentSrc,,706,40,880,640,,,,R02,2026-09-08,,
