fecha_hora	codigo	hoja	bloque	sitio	regla	resultado
2026-09-11T03:55:37	R04	244	011	Cornell	5effbb	cumple
2026-09-11T03:56:25	R04	244	012	Cornell	5effbb	cumple
2026-09-11T03:58:22	R04	244	013	Cornell	5effbb	cumple
2026-09-11T03:59:07	R04	244	014	Cornell	5effbb	cumple
2026-09-11T03:59:28	R04	244	015	Cornell	5effbb	cumple
2026-09-11T03:59:36	R04	244	016	Cornell	5effbb	cumple
2026-09-11T04:00:00	R04	244	017	Cornell	5effbb	cumple
2026-09-11T04:00:13	R04	244	018	Cornell	5effbb	cumple
2026-09-11T04:01:57	R04	244	019	Cornell	5effbb	cumple
2026-09-11T04:02:51	R04	244	020	Cornell	5effbb	cumple
2026-09-11T04:03:12	R04	244	021	Cornell	5effbb	cumple
2026-09-11T04:03:51	R04	244	022	Cornell	5effbb	cumple
2026-09-11T04:04:17	R04	244	023	Cornell	5effbb	cumple
2026-09-11T04:04:45	R04	244	024	Cornell	5effbb	cumple
2026-09-11T04:05:02	R04	244	025	Cornell	5effbb	cumple
2026-09-11T04:05:11	R04	244	026	Cornell	5effbb	cumple
2026-09-11T04:05:23	R04	244	027	Cornell	5effbb	cumple
2026-09-11T04:05:31	R04	244	028	Cornell	5effbb	cumple
2026-09-11T04:05:45	R04	244	029	Cornell	5effbb	cumple
2026-09-11T04:05:56	R04	244	030	Cornell	5effbb	cumple
2026-09-11T04:10:20	R04	244	031	Cornell	5effbb	cumple
2026-09-11T04:10:47	R04	244	032	Cornell	5effbb	cumple
2026-09-11T04:11:58	R04	244	033	Cornell	5effbb	falla
2026-09-11T04:12:39	R04	244	034	Cornell	5effbb	falla
2026-09-11T04:13:28	R04	244	035	Cornell	5effbb	cumple
2026-09-11T04:13:48	R04	244	036	Cornell	5effbb	cumple
2026-09-11T04:14:00	R04	244	037	Cornell	5effbb	cumple
2026-09-11T04:14:11	R04	244	038	Cornell	5effbb	cumple
2026-09-11T04:14:21	R04	244	039	Cornell	5effbb	cumple
2026-09-11T04:14:30	R04	244	040	Cornell	5effbb	cumple
2026-09-11T04:14:35	R04	244	041	Cornell	5effbb	cumple
2026-09-11T04:14:38	R04	244	042	Cornell	5effbb	cumple
2026-09-11T04:14:41	R04	244	043	Cornell	5effbb	cumple
2026-09-11T04:14:44	R04	244	044	Cornell	5effbb	cumple
2026-09-11T04:14:49	R04	244	045	Cornell	5effbb	cumple
2026-09-11T04:14:52	R04	244	046	Cornell	5effbb	cumple
2026-09-11T04:14:55	R04	244	047	Cornell	5effbb	cumple
2026-09-11T04:14:58	R04	244	048	Cornell	5effbb	cumple
2026-09-11T04:15:00	R04	244	049	Cornell	5effbb	cumple
2026-09-11T04:15:39	R04	244	050	Cornell	fd3a94	cumple
2026-09-11T04:15:58	R04	244	051	UCL	5effbb	cumple
2026-09-11T04:16:09	R04	244	052	UCL	5effbb	cumple
2026-09-11T04:16:32	R04	244	053	UCL	5effbb	falla
2026-09-11T04:16:45	R04	244	054	UCL	5effbb	cumple
2026-09-11T04:17:37	R04	244	055	UCL	5effbb	cumple
2026-09-11T04:17:51	R04	244	056	UCL	5effbb	cumple
2026-09-11T04:17:57	R04	244	057	UCL	5effbb	cumple
2026-09-11T04:18:09	R04	244	058	UCL	5effbb	cumple
2026-09-11T04:18:22	R04	244	059	UCL	5effbb	cumple
2026-09-11T04:19:29	R04	244	060	UCL	5effbb	falla
2026-09-11T04:19:44	R04	244	061	UCL	5effbb	cumple
2026-09-11T04:20:00	R04	244	062	UCL	5effbb	cumple
2026-09-11T04:20:14	R04	244	063	UCL	5effbb	cumple
2026-09-11T04:20:23	R04	244	064	UCL	5effbb	cumple
2026-09-11T04:21:21	R04	244	065	UCL	5effbb	falla
2026-09-11T04:21:36	R04	244	066	UCL	5effbb	cumple
2026-09-11T04:23:02	R04	244	067	UCL	5effbb	cumple
2026-09-11T04:23:15	R04	244	068	UCL	5effbb	cumple
2026-09-11T04:23:27	R04	244	069	UCL	5effbb	cumple
2026-09-11T04:24:32	R04	244	070	UCL	5effbb	cumple
2026-09-11T04:24:39	R04	244	071	UCL	5effbb	cumple
2026-09-11T04:24:59	R04	244	072	UCL	5effbb	cumple
2026-09-11T04:25:09	R04	244	073	UCL	5effbb	cumple
2026-09-11T04:25:41	R04	244	074	UCL	5effbb	cumple
2026-09-11T04:26:23	R04	244	075	UCL	5effbb	cumple
2026-09-11T04:27:01	R04	244	076	UCL	5effbb	cumple
2026-09-11T04:27:10	R04	244	077	UCL	5effbb	cumple
2026-09-11T04:27:36	R04	244	078	UCL	5effbb	cumple
2026-09-11T04:27:43	R04	244	079	UCL	5effbb	cumple
2026-09-11T04:28:25	R04	244	080	UCL	5effbb	falla
2026-09-11T04:34:15	R04	244	081	UCL	5effbb	cumple
