id,vantage,run,red,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,rastreo_pre_ext,nombres_rastreo_ext,cmp,banner,consent_default,consent_default_region,regiones,uet_consent,clarity_consent,ax_violaciones,ax_nodos,elementos,nodos_totales,nodos_por_mil_elementos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,incompletos_nodos,n_dominios_terceros,prov_emitida_sin_cookie,prov_no_emitida,servidor,cdn,cms,fecha
13,EC,1,residencial,mundo,UPenn,US,https://www.upenn.edu,true,,University of Pennsylvania,en,1,1,4,4,4,_gid _gat_UA-78054-1 _ga _ga_LL85393RFV,,0,0,0,,0,0,2,4,1099,2938,3.64,1,0,3,4,0,0,0,ninguno,4,40,5,Google Analytics Google Tag Manager,,nginx,Fastly/Varnish,generator: Drupal 11 (https://www.drupal.org) Drupal,2026-08-16T04:01:55.392Z
14,EC,1,residencial,mundo,UCL,GB,https://www.ucl.ac.uk,true,,Welcome to UCL | University College London,en,1,1,2,0,0,,,1,0,0,,0,0,0,0,1158,2997,0,0,0,0,0,0,0,0,AAA,3,302,3,YouTube,,cloudflare,Cloudflare,Drupal Moodle,2026-08-16T04:02:03.137Z
15,EC,1,residencial,mundo,Cornell,US,https://www.cornell.edu,true,,Cornell University,en,1,1,9,9,9,__utma __utmc __utmz __utmt __utmb _ga_PMZ19X3F8W _ga _ga_XJK3YSJ0LV nmstat,,0,0,0,,0,0,1,4,689,1815,5.81,0,0,4,4,0,0,0,AA,5,70,12,Google Tag Manager Google Analytics Siteimprove,,,Azure,,2026-08-16T04:02:12.322Z
16,EC,1,residencial,mundo,Tsinghua,CN,https://www.tsinghua.edu.cn/en/,true,,Tsinghua University,,1,1,1,0,0,,,0,0,0,,0,0,10,49,538,1178,91.08,39,6,4,11,32,1,5,ninguno,5,84,1,,,,,,2026-08-16T04:02:22.286Z
17,EC,1,residencial,mundo,Peking,CN,https://english.pku.edu.cn,true,,Peking University,,1,1,4,3,3,Hm_lvt_6d2ad9d99c9136dab46c5f969e3bc9ed Hm_lpvt_6d2ad9d99c9136dab46c5f969e3bc9ed HMACCOUNT,,0,0,0,,0,0,5,19,715,1572,26.57,18,1,0,2,14,1,2,ninguno,3,19,2,,,nginx,,,2026-08-16T04:02:32.183Z
18,EC,1,residencial,mundo,Johns Hopkins,US,https://www.jhu.edu,true,,Johns Hopkins University,en,1,1,12,5,7,nmstat _twpid _ga_8031WYVC9V _ga personalization_id muc_ads _ga_TSX9K66082,,0,0,0,,0,0,3,8,898,1986,8.91,6,0,2,3,5,0,0,ninguno,4,118,19,Google Ads Google Tag Manager Meta Siteimprove Google Analytics,,cloudflare,Cloudflare,WordPress Drupal,2026-08-16T04:02:39.415Z
19,EC,1,residencial,mundo,Columbia,US,https://www.columbia.edu,true,,Columbia University in the City of New York,en,1,1,15,6,9,_gid _gat_gtag_UA_18290390_1 __Secure-YNID YSC __Secure-ROLLOUT_TOKEN VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA _ga_09H1KYXPLX _ga,,1,0,0,,0,0,4,52,1656,4458,31.4,2,6,44,51,0,0,1,ninguno,1,80,15,Google Tag Manager Google Analytics Google Ads,,cloudflare,Cloudflare,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T04:02:46.980Z
20,EC,1,residencial,mundo,Toronto,CA,https://www.utoronto.ca,true,,University of Toronto,en,1,1,12,8,12,_gcl_au _ga _ga_0X74MN6XS3 CLID IDE _clck _clsk SM MUID MUID MR SRM_B,,0,0,0,,0,0,1,19,597,1622,31.83,0,0,19,19,0,0,0,AA,3,11,18,Google Tag Manager Google Analytics,,nginx,Fastly/Varnish,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T04:02:53.617Z
21,EC,1,residencial,mundo,UCLA,US,https://www.ucla.edu,true,,A World Leader in Education and Research Excellence | UCLA,en,1,1,9,4,7,__Secure-YNID YSC __Secure-ROLLOUT_TOKEN VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA _ga_6BMZK7EYHE _ga,,0,0,0,,0,0,1,64,1126,2746,56.84,0,0,64,64,0,0,0,AA,3,13,26,Google Ads Meta Google Tag Manager Google Analytics,,Apache/2.4.68 (Amazon Linux),CloudFront,,2026-08-16T04:03:00.933Z
22,EC,1,residencial,mundo,NUS,SG,https://nus.edu.sg,true,,NUS - National University of Singapore,,1,1,7,2,2,_ga_2T8KTSDET6 _ga,,1,0,0,,0,0,7,60,808,1763,74.26,24,21,15,36,23,1,0,ninguno,2,13,10,Google Tag Manager Google Analytics Google Ads,,,,,2026-08-16T04:03:10.249Z
23,EC,1,residencial,mundo,U Tokyo,JP,https://www.u-tokyo.ac.jp/en/,true,,The University of Tokyo,en,1,1,2,2,2,_ga_DWSZ09TFCH _ga,,0,0,0,,0,0,8,28,1003,2346,27.92,11,6,11,15,3,0,10,ninguno,3,22,7,Google Tag Manager Google Analytics Google Ads,,Apache,,,2026-08-16T04:03:22.906Z
24,EC,1,residencial,mundo,TUM,DE,https://www.tum.de/en/,true,,Technical University of Munich: The Entrepreneurial University - TUM,en-US,1,1,0,0,0,,,0,0,0,,0,0,1,23,4348,12384,5.29,0,0,23,23,0,0,0,AA,5,14,2,,,Apache/2,,generator: TYPO3 CMS TYPO3,2026-08-16T04:03:32.521Z
25,EC,1,residencial,mundo,Melbourne,AU,https://www.unimelb.edu.au,true,,The University of Melbourne - Australia's #1 Ranked University,en,1,1,37,16,16,utag_main__ss utag_main__st utag_main_ses_id s_nr30 s_tslv s_inv s_ips utag_main_v_id _ga_YE8SEG9T0S AMCV_0BFB1E5866E1D2E70A495C3B%40AdobeOrg _ga _ga_J6RRCK6F9V _ga_L55G410M0Q s_tp s_ppv s_plt,,1,0,0,,0,0,1,1,117,302,8.55,1,0,0,1,0,0,0,ninguno,4,9,18,Google Tag Manager Google Analytics Google Ads,,cloudflare,Cloudflare,,2026-08-16T04:03:39.986Z
26,EC,1,residencial,mundo,Edinburgh,GB,https://www.ed.ac.uk,true,,The University of Edinburgh,en,1,1,0,0,0,,,0,0,0,,0,0,2,37,621,1398,59.58,1,0,36,37,0,0,0,ninguno,3,27,3,Google Tag Manager,,nginx,Fastly/Varnish,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T04:03:50.813Z
27,EC,1,residencial,mundo,EPFL,CH,https://www.epfl.ch/en/,true,,EPFL,en-GB,1,1,2,2,2,_ga_N6BF9H5G73 _ga,,1,0,0,,0,0,3,101,1968,3078,51.32,1,85,15,100,1,0,0,ninguno,4,15,8,Google Tag Manager Google Analytics,,cloudflare,Cloudflare,generator: WordPress 6.9.7 WordPress,2026-08-16T04:04:00.501Z
28,EC,1,residencial,mundo,Michigan,US,https://umich.edu,true,,University of Michigan,en,1,1,2,0,0,,,0,1,0,,0,0,2,13,557,1350,23.34,0,5,8,8,5,0,0,A,3,19,5,Google Tag Manager Google Analytics Google Ads,,cloudflare,Cloudflare,,2026-08-16T04:04:06.865Z
29,EC,1,residencial,mundo,Northwestern,US,https://www.northwestern.edu,true,,Northwestern University,en,1,1,3,0,0,,CookieYes,1,0,0,,0,0,0,0,3581,6046,0,0,0,0,0,0,0,0,AAA,3,7,8,Google Tag Manager Google Analytics,,Apache,,,2026-08-16T04:04:14.720Z
30,EC,1,residencial,mundo,Fudan,CN,https://www.fudan.edu.cn/en/,true,,Fudan University,,1,1,5,3,3,Hm_lvt_829a28d038f7cea73ca2728904e244bc Hm_lpvt_829a28d038f7cea73ca2728904e244bc HMACCOUNT,,0,0,0,,0,0,6,44,593,1208,74.2,18,3,23,40,3,1,0,ninguno,3,27,3,,,******,,,2026-08-16T04:04:27.266Z
31,EC,1,residencial,mundo,PSL,FR,https://www.psl.eu/en,true,,PSL University | PSL,en,1,1,1,0,0,,,1,0,0,,0,0,5,25,1710,4278,14.62,8,12,5,16,8,0,1,ninguno,4,51,4,,,Apache/2.4.67 (Debian) OpenSSL/3.5.5,,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T04:04:38.698Z
32,EC,1,residencial,mundo,HKU,HK,https://www.hku.hk,true,,The University of Hong Kong (HKU),en,1,1,11,10,10,__utma __utmc __utmz __utmt __utmb _fbp _ga_ZHLLDTLTMG _ga _hjSessionUser_1966860 _hjSession_1966860,,0,0,0,,0,0,8,27,2485,3918,10.87,13,14,0,15,1,0,11,ninguno,4,32,9,Google Analytics Meta Google Tag Manager Hotjar Google Ads,,Apache,,,2026-08-16T04:04:48.624Z
33,EC,1,residencial,mundo,Zhejiang,CN,https://www.zju.edu.cn/english/,true,,Zhejiang University (ZJU),en,1,1,1,0,0,,,0,0,0,,0,0,3,14,717,1355,19.53,13,1,0,2,12,0,0,ninguno,3,67,0,,,Tengine,,,2026-08-16T04:05:01.923Z
34,EC,1,residencial,mundo,NYU,US,https://www.nyu.edu,true,,New York University,en,1,1,12,10,10,_gcl_au test_cookie _ga_9CWXCZX89G _ga _ga_S194DLZYBD _ga_YKLBDQJ61W _ga_H4KKXQKFSM _ga_S4TP6272FF _ga_VR2BFTJ92R _ga_8Y5XM9YCFW,Osano,1,0,0,,0,0,1,2,764,2144,2.62,0,0,2,2,0,0,0,AA,3,43,11,Google Tag Manager Google Analytics,,Apache,CloudFront,,2026-08-16T04:05:08.605Z
35,EC,1,residencial,mundo,SJTU,CN,https://www.sjtu.edu.cn,true,,上海交通大学中文主页门户网站,zh-Hans,1,1,3,3,3,_pk_testcookie.299.e5ac _pk_id.299.e5ac _pk_ses.299.e5ac,,0,0,0,,0,0,5,48,1823,4335,26.33,5,5,38,47,0,0,1,ninguno,2,20,1,,,nginx,,,2026-08-16T04:05:24.542Z
36,EC,1,residencial,mundo,KCL,GB,https://www.kcl.ac.uk,true,,King's College London,en-GB,1,1,2,0,0,,OneTrust,1,0,0,,0,0,2,41,739,2062,55.48,1,0,40,40,0,0,1,ninguno,3,37,7,Google Tag Manager X/Twitter Google Ads Google Analytics,,,,generator: Contensis CMS Version 17.1,2026-08-16T04:05:32.408Z
37,EC,1,residencial,mundo,UCSD,US,https://www.ucsd.edu,true,,University of California San Diego,en,1,1,26,11,22,li_sugr bcookie lidc UserMatchHistory AnalyticsSyncHistory __Secure-YNID YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __Secure-ROLLOUT_TOKEN _ttp _gcl_au _tt_enable_cookie _ttp _ga_ZBPHLZYTS4 _ga _hjSessionUser_3662797 _hjSession_3662797 bscookie test_cookie ttcsid ttcsid_D3NTPGRC77UELR3N1AFG,,0,0,0,,0,0,3,44,833,2017,52.82,2,7,35,35,7,0,2,ninguno,4,29,23,Google Tag Manager Hotjar Google Analytics,,Apache/2.4.62 (Red Hat Enterprise Linux),,,2026-08-16T04:05:40.442Z
38,EC,1,residencial,mundo,LMU,DE,https://www.lmu.de,true,,Startseite - LMU München,de,1,1,0,0,0,,,0,0,0,,0,0,1,9,481,1254,18.71,0,0,9,9,0,0,0,AA,4,47,2,,,Apache,,,2026-08-16T04:05:50.769Z
39,EC,1,residencial,mundo,Duke,US,https://www.duke.edu,true,,"Duke University - Fueled by creativity, informed by scholarship",en-US,1,1,24,13,22,YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __utma __utmc __utmz __utmt_UA-3896341-5 __utmb __Secure-YNID __Secure-ROLLOUT_TOKEN _ga _ga_EFHNRXCSHV CLID _clck _clsk MUID MR SRM_B SM MUID MR ANONCHK,,1,0,0,,0,0,1,7,1150,2400,6.09,0,0,7,7,0,0,0,AA,3,71,24,Google Ads Google Analytics Google Tag Manager,,Apache,,WordPress,2026-08-16T04:05:59.400Z
40,EC,1,residencial,mundo,Manchester,GB,https://www.manchester.ac.uk,true,,The University of Manchester,en,1,1,58,24,46,_gcl_au UserMatchHistory AnalyticsSyncHistory li_sugr bcookie lidc _gid _gat_UA-4619980-2 __Secure-YNID YSC __Secure-ROLLOUT_TOKEN VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA _gat_UA-3161158-1 _ttp bscookie _ga_1ET7C6PX1B _ga sa-user-id sa-user-id sa-user-id-v2 sa-user-id-v2 _ga_WL8VVSMZQ2 _ga_Z9M4Y77VXZ sa-user-id sa-user-id-v2 sa-user-id-v3 _tt_enable_cookie _ttp _twpid _fbp nmstat _uetsid _uetvid _hjSessionUser_2148424 _hjSession_2148424 personalization_id muc_ads MUID MR ttcsid ttcsid_CJ8D08BC77U3K5NQQDNG ttcsid_CDFTTMRC77U4B2URJ40G IDE _clck _clsk,OneTrust,0,0,0,,0,1,0,0,941,2119,0,0,0,0,0,0,0,0,AAA,1,27,48,Meta Google Tag Manager Google Analytics Hotjar Microsoft Clarity Siteimprove,,Apache,CloudFront,,2026-08-16T04:06:08.155Z
41,EC,1,residencial,mundo,UBC,CA,https://www.ubc.ca,true,,The University of British Columbia,en-ca,1,1,12,4,10,_gcl_au _scid _scid_r _ga_Q74JQJCYJK _ga sc_at IDE TapAd_TS TapAd_DID TapAd_3WAY_SYNCS,,0,0,0,,0,0,2,18,403,972,44.67,0,5,13,13,5,0,0,A,4,8,16,Google Tag Manager Google Analytics,,Apache/2.4.59 (),CloudFront,,2026-08-16T04:06:15.139Z
