id,vantage,run,red,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,rastreo_pre_ext,nombres_rastreo_ext,cmp,banner,consent_default,consent_default_region,regiones,uet_consent,clarity_consent,ax_violaciones,ax_nodos,elementos,nodos_totales,nodos_por_mil_elementos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,incompletos_nodos,n_dominios_terceros,prov_emitida_sin_cookie,prov_no_emitida,servidor,cdn,cms,fecha
1,EC,0,residencial,mundo,MIT,US,https://www.mit.edu,true,,MIT - Massachusetts Institute of Technology,en,1,1,0,0,0,,,0,0,0,,0,0,3,8,380,950,21.05,1,6,1,1,6,0,1,ninguno,4,24,3,Google Tag Manager,,Apache,,Drupal,2026-08-16T03:47:01.636Z
2,EC,0,residencial,mundo,Stanford,US,https://www.stanford.edu,true,,Stanford University,en,1,1,10,4,8,YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA _ga_Q0JD4PHRZ7 _ga __Secure-YNID __Secure-ROLLOUT_TOKEN _cs_id,,0,0,0,,0,0,1,11,1370,1820,8.03,0,0,11,11,0,0,0,AA,1,2,12,Google Ads ContentSquare Google Tag Manager Google Analytics,,Netlify,,,2026-08-16T03:47:09.268Z
3,EC,0,residencial,mundo,Harvard,US,https://www.harvard.edu,true,,Harvard University,en-US,1,1,8,5,5,_gid _gat_UA-2923555-1 _ga_KBLBYHG5EP _ga _fbp,,0,0,0,,0,0,2,13,1139,2834,11.41,0,3,10,13,0,0,0,A,2,42,18,Google Ads Google Analytics Meta Google Tag Manager,,nginx,,WordPress,2026-08-16T03:47:16.004Z
4,EC,0,residencial,mundo,Oxford,GB,https://www.ox.ac.uk,true,,University of Oxford,en,1,1,6,2,5,__Secure-YNID YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __Secure-ROLLOUT_TOKEN,,1,0,0,,0,0,0,0,2165,5829,0,0,0,0,0,0,0,0,AAA,4,8,9,Google Tag Manager Google Analytics Google Ads,,cloudflare,Cloudflare,generator: Drupal 11 (https://www.drupal.org) Drupal,2026-08-16T03:47:22.469Z
5,EC,0,residencial,mundo,Cambridge,GB,https://www.cam.ac.uk,true,,University of Cambridge,en,1,1,0,0,0,,,1,0,0,,0,0,2,6,529,1356,11.34,5,0,1,6,0,0,0,ninguno,2,8,9,Google Tag Manager Google Analytics,,nginx,Fastly/Varnish,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T03:47:29.752Z
