id,vantage,run,red,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,rastreo_pre_ext,nombres_rastreo_ext,cmp,banner,consent_default,consent_default_region,regiones,uet_consent,clarity_consent,ax_violaciones,ax_nodos,elementos,nodos_totales,nodos_por_mil_elementos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,incompletos_nodos,n_dominios_terceros,prov_emitida_sin_cookie,prov_no_emitida,servidor,cdn,cms,fecha
20,CH,1,centro_datos,mundo,Toronto,CA,https://www.utoronto.ca,true,,University of Toronto,en,1,1,4,4,4,_gcl_au _ga _ga_0X74MN6XS3 test_cookie,,0,0,0,,0,0,1,19,596,1621,31.88,0,0,19,19,0,0,0,AA,3,11,13,Google Tag Manager Microsoft Clarity Google Analytics,,nginx,Fastly/Varnish,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T09:48:09.621Z
21,CH,1,centro_datos,mundo,UCLA,US,https://www.ucla.edu,true,,A World Leader in Education and Research Excellence | UCLA,en,1,1,7,2,5,__Secure-YNID YSC __Secure-ROLLOUT_TOKEN VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA,,0,0,0,,0,0,1,48,1052,2658,45.63,0,0,48,48,0,0,0,AA,3,13,18,Meta Google Tag Manager Google Ads,,Apache/2.4.68 (Amazon Linux),CloudFront,,2026-08-16T09:48:21.809Z
22,CH,1,centro_datos,mundo,NUS,SG,https://nus.edu.sg,true,,NUS - National University of Singapore,,1,1,5,0,0,,,1,0,0,,0,0,7,60,808,1763,74.26,24,21,15,36,23,1,0,ninguno,2,13,7,Google Tag Manager,,,,,2026-08-16T09:48:36.820Z
23,CH,1,centro_datos,mundo,U Tokyo,JP,https://www.u-tokyo.ac.jp/en/,true,,The University of Tokyo,en,1,1,0,0,0,,,0,0,0,,0,0,8,28,1003,2346,27.92,11,6,11,15,3,0,10,ninguno,3,22,4,Google Tag Manager,,Apache,,,2026-08-16T09:49:02.617Z
24,CH,1,centro_datos,mundo,TUM,DE,https://www.tum.de/en/,true,,Technical University of Munich: The Entrepreneurial University - TUM,en-US,1,1,0,0,0,,,0,0,0,,0,0,1,23,4348,12384,5.29,0,0,23,23,0,0,0,AA,5,14,2,,,Apache/2,,generator: TYPO3 CMS TYPO3,2026-08-16T09:49:13.770Z
25,CH,1,centro_datos,mundo,Melbourne,AU,https://www.unimelb.edu.au,true,,The University of Melbourne - Australia's #1 Ranked University,en,1,1,30,13,13,utag_main__ss utag_main__st utag_main_ses_id s_nr30 s_tslv s_inv s_ips s_tp s_ppv utag_main_v_id _ga _ga_L55G410M0Q AMCV_0BFB1E5866E1D2E70A495C3B%40AdobeOrg,,1,0,0,,0,0,1,1,116,301,8.62,1,0,0,1,0,0,0,ninguno,4,9,18,Google Tag Manager Google Analytics Google Ads,,cloudflare,Cloudflare,,2026-08-16T09:49:26.083Z
26,CH,1,centro_datos,mundo,Edinburgh,GB,https://www.ed.ac.uk,true,,The University of Edinburgh,en,1,1,0,0,0,,,0,0,0,,0,0,2,37,621,1398,59.58,1,0,36,37,0,0,0,ninguno,3,27,3,Google Tag Manager,,nginx,Fastly/Varnish,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T09:49:41.466Z
27,CH,1,centro_datos,mundo,EPFL,CH,https://www.epfl.ch/en/,true,,EPFL,en-GB,1,1,2,2,2,_ga_N6BF9H5G73 _ga,,1,0,0,,0,0,3,101,1968,3078,51.32,1,85,15,100,1,0,0,ninguno,4,15,8,Google Tag Manager Google Analytics,,cloudflare,Cloudflare,generator: WordPress 6.9.7 WordPress,2026-08-16T09:49:51.969Z
28,CH,1,centro_datos,mundo,Michigan,US,https://umich.edu,true,,University of Michigan,en,1,1,1,0,0,,,0,1,0,,0,0,2,13,555,1348,23.42,0,5,8,8,5,0,0,A,3,19,1,Google Tag Manager,,cloudflare,Cloudflare,,2026-08-16T09:50:00.758Z
29,CH,1,centro_datos,mundo,Northwestern,US,https://www.northwestern.edu,true,,Northwestern University,en,1,1,8,0,0,,CookieYes,0,0,0,,0,0,1,1,999,1982,1,0,1,0,1,0,0,0,A,2,6,6,Google Tag Manager,,Apache,,,2026-08-16T09:50:13.328Z
30,CH,1,centro_datos,mundo,Fudan,CN,https://www.fudan.edu.cn/en/,true,,Fudan University,,1,1,4,3,3,Hm_lvt_829a28d038f7cea73ca2728904e244bc Hm_lpvt_829a28d038f7cea73ca2728904e244bc HMACCOUNT,,0,0,0,,0,0,6,44,593,1208,74.2,18,3,23,40,3,1,0,ninguno,3,27,3,,,******,,,2026-08-16T09:50:30.270Z
31,CH,1,centro_datos,mundo,PSL,FR,https://www.psl.eu/en,true,,PSL University | PSL,en,1,1,1,0,0,,,1,0,0,,0,0,4,24,1615,4107,14.86,7,12,5,16,8,0,0,ninguno,4,47,4,,,Apache/2.4.67 (Debian) OpenSSL/3.5.5,,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T09:50:47.396Z
32,CH,1,centro_datos,mundo,HKU,HK,https://www.hku.hk,true,,The University of Hong Kong (HKU),en,1,1,8,7,7,__utma __utmc __utmz __utmt __utmb _ga_ZHLLDTLTMG _ga,,0,0,0,,0,0,8,27,2482,3914,10.88,13,14,0,15,1,0,11,ninguno,4,32,7,Google Analytics Google Tag Manager Hotjar Meta Google Ads,,Apache,,,2026-08-16T09:51:06.711Z
33,CH,1,centro_datos,mundo,Zhejiang,CN,https://www.zju.edu.cn/english/,true,,Zhejiang University (ZJU),en,1,1,1,0,0,,,0,0,0,,0,0,3,14,717,1355,19.53,13,1,0,2,12,0,0,ninguno,3,67,0,,,Tengine,,,2026-08-16T09:51:29.346Z
34,CH,1,centro_datos,mundo,NYU,US,https://www.nyu.edu,true,,Human Verification,en,1,1,1,0,0,,,0,0,0,,0,0,1,1,51,94,19.61,0,0,1,1,0,0,0,AA,1,18,4,,,CloudFront,CloudFront,,2026-08-16T09:51:39.333Z
35,CH,1,centro_datos,mundo,SJTU,CN,https://www.sjtu.edu.cn,true,,上海交通大学中文主页门户网站,zh-Hans,1,1,0,0,0,,,0,0,0,,0,0,5,48,1823,4335,26.33,5,5,38,47,0,0,1,ninguno,2,20,1,,,nginx,,,2026-08-16T09:52:11.239Z
36,CH,1,centro_datos,mundo,KCL,GB,https://www.kcl.ac.uk,true,,King's College London,en-GB,1,1,2,0,0,,OneTrust,1,0,0,,0,0,2,41,738,2061,55.56,1,0,40,40,0,0,1,ninguno,3,37,7,Google Tag Manager X/Twitter Google Ads Google Analytics,,,,generator: Contensis CMS Version 17.1,2026-08-16T09:52:21.764Z
37,CH,1,centro_datos,mundo,UCSD,US,https://www.ucsd.edu,false,Error: page.goto: net::ERR_CONNECTION_TIMED_OUT at https://www.ucsd.edu/,,,0,1,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,2026-08-16T09:53:09.054Z
38,CH,1,centro_datos,mundo,LMU,DE,https://www.lmu.de,true,,Startseite - LMU München,de,1,1,0,0,0,,,0,0,0,,0,0,1,9,481,1254,18.71,0,0,9,9,0,0,0,AA,4,47,2,,,Apache,,,2026-08-16T09:53:22.004Z
39,CH,1,centro_datos,mundo,Duke,US,https://www.duke.edu,true,,"Duke University - Fueled by creativity, informed by scholarship",en-US,1,1,14,9,12,YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __Secure-YNID __Secure-ROLLOUT_TOKEN _ga _ga_EFHNRXCSHV __utma __utmc __utmz __utmt_UA-3896341-5 __utmb,,1,0,0,,0,0,1,7,1150,2400,6.09,0,0,7,7,0,0,0,AA,3,71,22,Google Ads Google Analytics Microsoft Clarity Google Tag Manager,,Apache,,WordPress,2026-08-16T09:53:38.675Z
40,CH,1,centro_datos,mundo,Manchester,GB,https://www.manchester.ac.uk,true,,The University of Manchester,en,1,1,9,4,7,_gcl_au _ga_1ET7C6PX1B _ga bcookie li_gc lidc _ttp,OneTrust,0,0,0,,0,1,0,0,916,2091,0,0,0,0,0,0,0,0,AAA,1,27,30,YouTube Google Ads Google Tag Manager Meta Hotjar Google Analytics Siteimprove X/Twitter Microsoft Clarity Microsoft Ads/UET,,Apache,CloudFront,,2026-08-16T09:53:48.777Z
