id,vantage,run,red,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,rastreo_pre_ext,nombres_rastreo_ext,cmp,banner,consent_default,consent_default_region,regiones,uet_consent,clarity_consent,ax_violaciones,ax_nodos,elementos,nodos_totales,nodos_por_mil_elementos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,incompletos_nodos,n_dominios_terceros,prov_emitida_sin_cookie,prov_no_emitida,servidor,cdn,cms,fecha
15,EU,3,centro_datos,mundo,Cornell,US,https://www.cornell.edu,true,,Cornell University,en,1,1,9,9,9,__utma __utmc __utmz __utmt __utmb nmstat _ga_PMZ19X3F8W _ga _ga_XJK3YSJ0LV,,0,0,0,,0,0,1,4,689,1815,5.81,0,0,4,4,0,0,0,AA,5,70,12,Google Tag Manager Google Analytics Siteimprove,,,Azure,,2026-08-16T06:35:07.730Z
16,EU,3,centro_datos,mundo,Tsinghua,CN,https://www.tsinghua.edu.cn/en/,true,,Tsinghua University,,1,1,1,0,0,,,0,0,0,,0,0,10,49,538,1178,91.08,39,6,4,11,32,1,5,ninguno,5,84,1,,,,,,2026-08-16T06:35:19.814Z
17,EU,3,centro_datos,mundo,Peking,CN,https://english.pku.edu.cn,true,,Peking University,,1,1,0,0,0,,,0,0,0,,0,0,5,19,715,1572,26.57,18,1,0,2,14,1,2,ninguno,3,19,2,Baidu,,nginx,,,2026-08-16T06:35:34.418Z
18,EU,3,centro_datos,mundo,Johns Hopkins,US,https://www.jhu.edu,true,,Johns Hopkins University,en,1,1,8,4,5,_ga_8031WYVC9V _ga _ga_TSX9K66082 nmstat _twpid,,0,0,0,,0,0,3,8,891,1979,8.98,6,0,2,3,5,0,0,ninguno,4,118,19,Google Tag Manager Google Ads Meta Siteimprove Google Analytics,,cloudflare,Cloudflare,WordPress Drupal,2026-08-16T06:35:43.814Z
19,EU,3,centro_datos,mundo,Columbia,US,https://www.columbia.edu,true,,Columbia University in the City of New York,en,1,1,14,6,9,__Secure-YNID YSC VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA __Secure-ROLLOUT_TOKEN _ga_09H1KYXPLX _ga _gid _gat_gtag_UA_18290390_1,,1,0,0,,0,0,4,52,1656,4458,31.4,2,6,44,51,0,0,1,ninguno,1,80,15,Google Tag Manager Google Analytics Google Ads,,cloudflare,Cloudflare,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T06:35:53.573Z
20,EU,3,centro_datos,mundo,Toronto,CA,https://www.utoronto.ca,true,,University of Toronto,en,1,1,4,4,4,_gcl_au _ga _ga_0X74MN6XS3 IDE,,0,0,0,,0,0,1,19,596,1621,31.88,0,0,19,19,0,0,0,AA,3,11,12,Google Tag Manager Microsoft Clarity Google Analytics,,nginx,Fastly/Varnish,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T06:36:01.360Z
21,EU,3,centro_datos,mundo,UCLA,US,https://www.ucla.edu,true,,A World Leader in Education and Research Excellence | UCLA,en,1,1,9,4,7,__Secure-YNID YSC __Secure-ROLLOUT_TOKEN VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA _ga_6BMZK7EYHE _ga,,0,0,0,,0,0,1,64,1126,2746,56.84,0,0,64,64,0,0,0,AA,3,13,27,Google Ads Meta Google Tag Manager Google Analytics,,Apache/2.4.68 (Amazon Linux),CloudFront,,2026-08-16T06:36:11.066Z
22,EU,3,centro_datos,mundo,NUS,SG,https://nus.edu.sg,true,,NUS - National University of Singapore,,1,1,7,2,2,_ga_2T8KTSDET6 _ga,,1,0,0,,0,0,7,60,808,1763,74.26,24,21,15,36,23,1,0,ninguno,2,13,10,Google Tag Manager Google Analytics Google Ads,,,,,2026-08-16T06:36:21.135Z
23,EU,3,centro_datos,mundo,U Tokyo,JP,https://www.u-tokyo.ac.jp/en/,true,,The University of Tokyo,en,1,1,0,0,0,,,0,0,0,,0,0,8,28,1003,2346,27.92,11,6,11,15,3,0,10,ninguno,3,22,4,Google Tag Manager,,Apache,,,2026-08-16T06:36:38.491Z
24,EU,3,centro_datos,mundo,TUM,DE,https://www.tum.de/en/,true,,Technical University of Munich: The Entrepreneurial University - TUM,en-US,1,1,0,0,0,,,0,0,0,,0,0,1,23,4348,12384,5.29,0,0,23,23,0,0,0,AA,5,14,2,,,Apache/2,,generator: TYPO3 CMS TYPO3,2026-08-16T06:36:47.602Z
25,EU,3,centro_datos,mundo,Melbourne,AU,https://www.unimelb.edu.au,true,,The University of Melbourne - Australia's #1 Ranked University,en,1,1,30,13,13,utag_main__ss utag_main__st utag_main_ses_id s_nr30 s_tslv s_inv s_ips s_tp s_ppv utag_main_v_id _ga _ga_J6RRCK6F9V AMCV_0BFB1E5866E1D2E70A495C3B%40AdobeOrg,,1,0,0,,0,0,1,1,117,302,8.55,1,0,0,1,0,0,0,ninguno,4,8,18,Google Tag Manager Google Analytics Google Ads,,cloudflare,Cloudflare,,2026-08-16T06:36:56.061Z
26,EU,3,centro_datos,mundo,Edinburgh,GB,https://www.ed.ac.uk,true,,The University of Edinburgh,en,1,1,0,0,0,,,0,0,0,,0,0,2,37,621,1398,59.58,1,0,36,37,0,0,0,ninguno,3,27,3,Google Tag Manager,,nginx,Fastly/Varnish,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T06:37:09.410Z
27,EU,3,centro_datos,mundo,EPFL,CH,https://www.epfl.ch/en/,true,,EPFL,en-GB,1,1,2,2,2,_ga_N6BF9H5G73 _ga,,1,0,0,,0,0,3,101,1968,3078,51.32,1,85,15,100,1,0,0,ninguno,4,15,8,Google Tag Manager Google Analytics,,cloudflare,Cloudflare,generator: WordPress 6.9.7 WordPress,2026-08-16T06:37:17.756Z
28,EU,3,centro_datos,mundo,Michigan,US,https://umich.edu,true,,University of Michigan,en,1,1,2,0,0,,,0,1,0,,0,0,2,13,555,1348,23.42,0,5,8,8,5,0,0,A,3,19,2,Google Tag Manager Google Analytics,,cloudflare,Cloudflare,,2026-08-16T06:37:24.877Z
