id,vantage,run,red,grupo,sigla,pais,url,ok,error,title,lang,viewport,https,cookies_pre,rastreo_pre,rastreo_pre_ext,nombres_rastreo_ext,cmp,banner,consent_default,consent_default_region,regiones,uet_consent,clarity_consent,ax_violaciones,ax_nodos,elementos,nodos_totales,nodos_por_mil_elementos,nivelA_nodos,nivelAA_nodos,nivelAAA_nodos,Perceptible,Operable,Comprensible,Robusto,max_nivel_sin_fallo_auto,incompletos,incompletos_nodos,n_dominios_terceros,prov_emitida_sin_cookie,prov_no_emitida,servidor,cdn,cms,fecha
29,GB,2,centro_datos,mundo,Northwestern,US,https://www.northwestern.edu,true,,Northwestern University,en,1,1,9,0,0,,CookieYes,0,0,0,,0,0,0,0,1000,1983,0,0,0,0,0,0,0,0,AAA,2,6,7,Google Tag Manager,,Apache,,,2026-08-16T12:18:15.548Z
30,GB,2,centro_datos,mundo,Fudan,CN,https://www.fudan.edu.cn/en/,true,,Fudan University,,1,1,5,3,3,Hm_lvt_829a28d038f7cea73ca2728904e244bc Hm_lpvt_829a28d038f7cea73ca2728904e244bc HMACCOUNT,,0,0,0,,0,0,6,44,593,1208,74.2,18,3,23,40,3,1,0,ninguno,3,27,3,,,******,,,2026-08-16T12:18:31.526Z
31,GB,2,centro_datos,mundo,PSL,FR,https://www.psl.eu/en,true,,PSL University | PSL,en,1,1,1,0,0,,,1,0,0,,0,0,4,24,1615,4107,14.86,7,12,5,16,8,0,0,ninguno,4,47,4,,,Apache/2.4.67 (Debian) OpenSSL/3.5.5,,generator: Drupal 10 (https://www.drupal.org) Drupal,2026-08-16T12:18:45.402Z
32,GB,2,centro_datos,mundo,HKU,HK,https://www.hku.hk,true,,The University of Hong Kong (HKU),en,1,1,8,7,7,__utma __utmc __utmz __utmt __utmb _ga_ZHLLDTLTMG _ga,,0,0,0,,0,0,8,27,2484,3916,10.87,13,14,0,15,1,0,11,ninguno,4,32,8,Google Analytics Google Tag Manager Hotjar Meta Google Ads,,Apache,,,2026-08-16T12:19:02.946Z
33,GB,2,centro_datos,mundo,Zhejiang,CN,https://www.zju.edu.cn/english/,true,,Zhejiang University (ZJU),en,1,1,1,0,0,,,0,0,0,,0,0,3,14,717,1355,19.53,13,1,0,2,12,0,0,ninguno,3,67,0,,,Tengine,,,2026-08-16T12:19:17.755Z
34,GB,2,centro_datos,mundo,NYU,US,https://www.nyu.edu,true,,New York University,en,1,1,0,0,0,,Osano,1,0,0,,0,0,1,2,787,2235,2.54,0,0,2,2,0,0,0,AA,3,43,5,Google Tag Manager Google Ads,,Apache,CloudFront,,2026-08-16T12:19:26.210Z
35,GB,2,centro_datos,mundo,SJTU,CN,https://www.sjtu.edu.cn,true,,上海交通大学中文主页门户网站,zh-Hans,1,1,0,0,0,,,0,0,0,,0,0,5,48,1823,4335,26.33,5,5,38,47,0,0,1,ninguno,2,20,1,,,nginx,,,2026-08-16T12:19:51.845Z
36,GB,2,centro_datos,mundo,KCL,GB,https://www.kcl.ac.uk,true,,King's College London,en-GB,1,1,2,0,0,,OneTrust,1,0,0,,0,0,2,41,738,2061,55.56,1,0,40,40,0,0,1,ninguno,3,37,7,Google Tag Manager X/Twitter Google Ads Google Analytics,,,,generator: Contensis CMS Version 17.1,2026-08-16T12:20:00.946Z
37,GB,2,centro_datos,mundo,UCSD,US,https://www.ucsd.edu,true,,University of California San Diego,en,1,1,17,7,13,_gcl_au _ga_ZBPHLZYTS4 _ga bcookie li_gc lidc test_cookie __Secure-YNID YSC __Secure-ROLLOUT_TOKEN VISITOR_INFO1_LIVE VISITOR_PRIVACY_METADATA _ttp,,0,0,0,,0,0,3,44,831,2015,52.95,2,7,35,35,7,0,2,ninguno,4,29,20,Google Tag Manager Hotjar Google Analytics,,Apache/2.4.62 (Red Hat Enterprise Linux),,,2026-08-16T12:20:22.207Z
38,GB,2,centro_datos,mundo,LMU,DE,https://www.lmu.de,true,,Startseite - LMU München,de,1,1,0,0,0,,,0,0,0,,0,0,1,9,481,1254,18.71,0,0,9,9,0,0,0,AA,4,47,2,,,Apache,,,2026-08-16T12:20:34.581Z
